#NodeID	NodeType	Abundance	mock	k	p	c	o	f	g
48	otu	0.000434722921337	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__Peptostreptococcus
49	otu	0.0	Even3	k__Bacteria	p__Bacteroidetes	c__Sphingobacteriia	o__Sphingobacteriales	f__Sphingobacteriaceae	Other
50	otu	0.000137280922528	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Brenneria
51	otu	0.180350318034	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus
52	otu	6.86404612638e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Hahellaceae	g__Hahella
53	otu	0.00017160115316	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__
54	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Crenotrichaceae	g__Crenothrix
55	otu	0.0	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__YRC22
56	otu	0.00672676520386	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Trabulsiella
57	otu	0.195945636755	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium
58	otu	0.0294	Even3	k__Bacteria	p__Firmicutes	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella
59	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__	g__
60	otu	0.0669358898092	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Oscillospira
61	otu	6.86404612638e-05	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Rikenella
62	otu	6.86404612638e-05	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__cc_115
63	otu	0.000148720999405	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Marinilabiaceae	g__
64	otu	0.000137280922528	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Kineosporiaceae	g__Kineosporia
65	otu	0.204296892875	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__
66	otu	0.000308882075688	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	Other
67	otu	0.000251681691301	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Dickeya
68	otu	9.15206150184e-05	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Allobaculum
69	otu	0.000148720999405	Even3	k__Bacteria	p__Cyanobacteria	Other	Other	Other	Other
70	otu	0.0	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__
71	otu	0.138344849677	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__Desulfosporosinus
72	otu	0.00249393675926	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Serratia
73	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	f__Oceanospirillaceae	g__Oceanospirillum
74	otu	8.00805381411e-05	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Bacillus
75	otu	0.0282455498101	Even3	k__Bacteria	p__Bacteroidetes	Other	Other	Other	Other
76	otu	0.0	Even3	k__Bacteria	p__Firmicutes	c__AHT28	o__	f__	g__
77	otu	0.000228801537546	Even3	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Phyllobacteriaceae	g__Mesorhizobium
78	otu	0.0	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Renibacterium
79	otu	0.0	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Lactococcus
80	otu	6.86404612638e-05	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Anaerostipes
81	otu	0.195830737198	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus
82	otu	2.28801537546e-05	Even3	k__Bacteria	p__Thermotogae	c__Thermotogae	o__Thermotogales	f__Thermotogaceae	g__Thermotoga
83	otu	2.28801537546e-05	Even3	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	Other	Other	Other
84	otu	0.0019676932229	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	Other
85	otu	0.00034320230632	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Alloscardovia
86	otu	1.79047399442	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Catenibacterium
87	otu	0.0942891136229	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	Other	Other
88	otu	0.000160161076282	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Acidaminobacteraceae]	g__Fusibacter
89	otu	0.00017160115316	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__
90	otu	0.000137280922528	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Sporolactobacillaceae	g__Sporolactobacillus
91	otu	0.000205921383792	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__Terribacillus
92	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Microvirgula
93	otu	0.396158422185	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	Other
94	otu	0.0147	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Butyrivibrio
95	otu	0.0147	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Anaerococcus
96	otu	0.00306594060312	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	Other
97	otu	5.72003843865e-05	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__L7A_E11
98	otu	0.000183041230037	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Moritellaceae	Other
99	otu	0.0315402919508	Even3	k__Bacteria	p__Firmicutes	Other	Other	Other	Other
100	otu	1.14400768773e-05	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	Other	Other
101	otu	2.28801537546e-05	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Natranaerobiales	f__Contubernalisaceae	g__
102	otu	0.0147	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	g__
103	otu	0.00029744199881	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Caloramator
104	otu	0.000228801537546	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Paludibacter
105	otu	0.00304306044937	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Lysobacter
106	otu	4.57603075092e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Wohlfahrtiimonas
107	otu	1.14400768773e-05	Even3	k__Bacteria	p__Cyanobacteria	c__Nostocophycideae	o__Nostocales	f__Nostocaceae	g__Nodularia
108	otu	1.14400768773e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	Other	Other
109	otu	0.00561707774676	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnobacterium
110	otu	5.72003843865e-05	Even3	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__
111	otu	2.28801537546e-05	Even3	k__Bacteria	p__NC10	c__12-24	o__MIZ17	f__	g__
112	otu	0.0	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	Other
113	otu	0.0150322610168	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Mogibacteriaceae]	g__
114	otu	0.00128128861026	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__5-7N15
115	otu	2.28801537546e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Oceanospirillales	Other	Other
116	otu	0.000606324074498	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__RF16	g__
117	otu	4.57603075092e-05	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Thermoanaerobacterales	f__Caldicellulosiruptoraceae	g__Caldicellulosiruptor
118	otu	0.000228801537546	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	Other
119	otu	4.57603075092e-05	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Planococcaceae	g__Lysinibacillus
120	otu	0.388722372214	Even3	k__Bacteria	Other	Other	Other	Other	Other
121	otu	0.000320322152564	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__
122	otu	5.72003843865e-05	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__RFN20
123	otu	1.51238760811	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Providencia
124	otu	0.0	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Salinibacterium
125	otu	0.222635336109	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	Other
126	otu	0.015260563767	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Enterobacter
127	otu	6.86404612638e-05	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Candidatus Aquiluna
128	otu	0.000205921383792	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__
129	otu	1.31695827118	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus
130	otu	0.0272731432755	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	Other	Other	Other
131	otu	3.85250904224	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides
132	otu	0.154863821901	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	g__Mitsuokella
133	otu	0.0686976616483	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Lachnospira
134	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	Other
135	otu	0.000183041230037	Even3	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__
136	otu	0.00156729053219	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Coprobacillus
137	otu	5.72003843865e-05	Even3	k__Bacteria	p__Acidobacteria	c__	o__	f__	g__
138	otu	1.1664874388	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__[Tissierellaceae]	g__Anaerococcus
139	otu	1.14400768773e-05	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia
140	otu	0.0698187891823	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Erwinia
141	otu	0.000251681691301	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__JTB215	g__
142	otu	0.000183041230037	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	Other
143	otu	0.00379810552327	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Salmonella
144	otu	0.0	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Yaniellaceae	g__
145	otu	0.00012584084565	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	Other
146	otu	0.00059488399762	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Dysgonomonas
147	otu	0.000320322152564	Even3	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__Akkermansia
148	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Xanthomonadaceae	g__Thermomonas
149	otu	0.587081366402	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Proteus
150	otu	8.00805381412e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Halothiobacillaceae	Other
151	otu	0.282180437469	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Holdemania
152	otu	0.0294	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium
153	otu	0.0534022788633	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	Other
154	otu	4.57603075092e-05	Even3	k__Bacteria	p__Chrysiogenetes	c__Chrysiogenetes	o__Chrysiogenales	f__Chrysiogenaceae	g__Desulfurispirillum
155	otu	6.86404612638e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__OM60	g__Congregibacter
156	otu	0.000572003843865	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Bibersteinia
157	otu	4.57603075092e-05	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	Other
158	otu	4.57603075092e-05	Even3	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfobacterales	f__Desulfobulbaceae	g__Desulfobulbus
159	otu	0.000480483228846	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Moryella
160	otu	0.431279458198	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__SMB53
161	otu	0.0890152381823	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	Other
162	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__	f__	g__
163	otu	0.147371070333	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	Other
164	otu	2.28801537546e-05	Even3	k__Bacteria	p__Chrysiogenetes	c__Chrysiogenetes	o__Chrysiogenales	f__Chrysiogenaceae	Other
165	otu	9.15206150186e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__Moritellaceae	g__
166	otu	1.14400768773e-05	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Oxobacter
167	otu	0.0	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Alkaliphilus
168	otu	0.273978401135	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__
169	otu	0.00507939413353	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	Other	Other	Other
170	otu	0.497677165607	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__
171	otu	0.12185920011	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Anaerofustis
172	otu	0.0916350157874	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__	g__
173	otu	1.14400768773e-05	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Arthrobacter
174	otu	0.0111197547248	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptococcaceae	Other
175	otu	0.00149865007092	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Oribacterium
176	otu	0.000194481306914	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	Other	Other
177	otu	0.0435066123644	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Veillonellaceae	Other
178	otu	0.00160161076282	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__[Prevotella]
179	otu	8.00805381411e-05	Even3	k__Bacteria	p__Spirochaetes	c__GN05	o__IF025	f__	g__
180	otu	0.910286917128	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	Other
181	otu	0.0	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__[Paraprevotellaceae]	g__Paraprevotella
182	otu	4.57603075092e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__[Chromatiaceae]	g__Alishewanella
183	otu	0.000720724843271	Even3	NO_HIT	Other	Other	Other	Other	Other
184	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	Other	Other
185	otu	0.884431844598	Even3	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Dorea
186	otu	0.0010067267652	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella
187	otu	0.0	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__OM60	g__
188	otu	0.969718116505	Even3	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__[Eubacterium]
189	otu	0.000205921383791	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__PYR10d3	f__	g__
190	otu	2.28801537546e-05	Even3	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Alteromonadales	f__HTCC2188	g__
191	otu	4.57603075092e-05	Even3	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium
192	otu	0.302440813618	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella
193	otu	6.86404612639e-05	Even3	k__Bacteria	p__Cyanobacteria	c__Oscillatoriophycideae	Other	Other	Other
194	otu	8.00805381411e-05	Even3	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae	g__
195	otu	0.236305729191	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__
196	otu	0.000137280922528	Even3	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Porphyromonadaceae	g__Tannerella
