#Taxon	pc0	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20	pc21	pc22	pc23	pc24	pc25	pc26	pc27	pc28	pc29	pc30
Even4;k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.00155305554326	0.00976305172869	-0.00963447560176	-0.00167811930584	-0.000639322259311	-0.000243146757546	-0.000385728672818	-0.000235669115462	-3.17100171215e-05	1.48286034327e-05	-3.99412898219e-05	-3.93079914296e-05	2.971195652e-05	1.92490549594e-05	2.39222705192e-06	6.7333661178e-07	2.68882276967e-07	6.04157670286e-07	2.7937673829e-08	3.00356680141e-07	8.41265838507e-08	-4.06014959598e-08	-2.20234436055e-08	5.66681148229e-08	2.13997945475e-08	-2.5532519716e-09	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium	-0.00054200506383	0.00418102800459	-0.0041824177088	-0.000708160379355	-0.000281411104866	-9.50182504118e-05	-0.000182588975885	-0.000102578908449	-6.00181933345e-06	6.51151161004e-06	-1.09223265371e-05	-1.74428283909e-05	1.1192004641e-05	5.61994415359e-06	6.75580208677e-07	-1.02730513579e-06	-1.30173151381e-07	-3.2363262804e-08	8.19422730652e-08	-1.12225512691e-07	7.67108323779e-08	-1.51299277775e-08	-1.56774519065e-08	1.1793011411e-08	-5.92100097649e-11	-1.96755680005e-09	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	-0.0154226326287	-0.0360661199885	-0.0177857927224	0.00352713625351	0.000296766516095	0.000751199456108	-0.000989825635993	-0.00017690599705	-1.27904603338e-06	-0.000210602585488	6.17711076922e-05	4.80563928485e-05	1.96917812652e-05	-1.17821870396e-05	2.92670931636e-06	3.52019660445e-06	-1.80794335262e-06	2.23372783549e-06	1.96509277575e-06	-2.26882028001e-07	1.04941340002e-06	-5.75756777959e-07	-2.57280701687e-07	-1.71680097997e-07	-3.12099837808e-08	-3.18763501302e-08	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712667e-11
Even3;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	-0.0156331160791	-0.036179850901	-0.0176898994417	0.00347180881903	0.000233593788573	0.000755157720859	-0.000992667179127	-0.000179685834031	1.12057642525e-06	-0.000210064983841	5.88205266822e-05	4.5632743096e-05	1.90637000456e-05	-1.1573180031e-05	3.06410678181e-06	3.1036845236e-06	-1.74266366823e-06	1.99943811852e-06	2.21134815775e-06	-1.82668068498e-07	1.02644272099e-06	-5.98614124252e-07	-2.70178036236e-07	-1.71855542477e-07	-3.11731977875e-08	-3.34966571343e-08	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712667e-11
Even4;k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Providencia	-0.0148664809021	-0.0365555439525	-0.0180368014614	0.00394599379914	0.000253661568963	0.000841186743525	-0.00104246214057	-0.000175878663268	-1.93302605417e-06	-0.00022489968105	6.31349514202e-05	5.24491637376e-05	2.02738722222e-05	-1.21487643223e-05	3.03628506116e-06	3.70898552646e-06	-1.78037910447e-06	2.40860029001e-06	2.03426367868e-06	-1.31348970677e-07	1.06987938317e-06	-6.01596797051e-07	-2.55224258611e-07	-1.68736287216e-07	-3.33125575979e-08	-3.36189150542e-08	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712667e-11
Even3;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.000401279952515	0.00463947824359	-0.00737119571788	-0.00119715322837	-0.000366623898167	-0.000271253943207	-0.000347153212899	-0.000207498436728	-2.66133294827e-05	9.40604853556e-06	-2.67424189176e-05	-2.76493869901e-05	2.62640367745e-05	9.26008467707e-06	2.44826456991e-06	3.60984561408e-07	-1.69673942822e-07	8.41843489556e-07	-3.46103199049e-07	1.07162162171e-07	-1.63106971319e-09	6.20704504144e-08	-6.88366953875e-09	2.37390180079e-08	6.24505296613e-09	-1.61662254192e-10	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even4;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	-0.0579383895741	0.0144807967177	-0.0108228018972	-0.000559077800744	-0.00476517758552	-0.000240886865181	0.000219583359191	-0.000578302141005	0.000137331729665	-1.65334424952e-05	0.000134421834083	-0.000333073692059	9.61542488946e-05	9.55633516164e-05	-3.50986441762e-05	2.67437092424e-05	-7.0438746401e-06	1.1255013136e-05	-7.65860081183e-06	5.10218727127e-06	-1.40356781778e-06	1.02811139656e-07	1.36573902598e-06	1.4595399437e-06	3.21215255543e-07	6.53789174735e-08	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	-0.0481344584642	0.00923172540652	-0.0150561309396	-0.000299036059427	-0.00278910281615	-0.00152375751283	0.00133856734788	-0.000100673175141	-6.52353927286e-05	1.79731683472e-05	0.000595464986099	-0.000130871138468	0.000125699634375	4.83223015059e-05	7.14304163525e-07	4.30648449925e-06	-3.96795631475e-06	1.8214639056e-06	4.96641723146e-06	-6.79766230248e-07	9.52313627491e-07	-7.511643797e-07	-8.28916857672e-07	-3.74850601542e-07	-3.33383281277e-08	-6.81127615973e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus	-0.0154013706822	0.00795751124524	-0.0133247666701	-0.00220071654833	0.000970610022607	0.0022467614492	9.145427945e-05	0.000238980124692	-4.9855019821e-05	-6.32794277452e-05	-2.11727939148e-05	-0.000109560963675	3.79684723437e-05	1.35401630142e-06	4.78432204559e-06	1.1400939371e-06	1.5793446196e-07	1.50595459455e-06	4.83371954894e-07	-3.55781292984e-08	4.80890915242e-07	-1.95940313169e-07	-1.08120207803e-07	-1.85841365206e-08	7.37989416213e-09	-1.13499005973e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even3;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__	-0.0480457091813	0.00909761504076	-0.0151173932818	-0.00031409754846	-0.00278538204326	-0.00153872294004	0.00135562235845	-0.000100371704279	-6.44336062016e-05	1.97800693176e-05	0.000595903924409	-0.000132549572285	0.000126510098119	4.8320883936e-05	7.65888323074e-07	4.28620959671e-06	-3.73329121486e-06	2.01030892111e-06	5.07109763331e-06	-4.83113562271e-07	9.89386056059e-07	-7.67474790963e-07	-7.8702755725e-07	-3.25971991147e-07	-2.77703264189e-08	-6.86517940056e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even3;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus	-0.0155642835337	0.00801885118902	-0.0132973067549	-0.00219933279613	0.000950605326035	0.0022409034067	8.74101968434e-05	0.000238079483575	-4.81353950956e-05	-6.32216055752e-05	-2.3490459437e-05	-0.000109507836655	3.5752919911e-05	-1.1672000418e-06	5.54603059049e-06	1.18544660198e-06	-1.04935235134e-07	1.56440978622e-06	2.99062978293e-07	-2.7178892541e-08	5.46393950557e-07	-1.45035504502e-07	-1.65301528766e-07	-3.64649191883e-08	1.5005320226e-08	-1.15005278097e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even4;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	-2.30942518312e-05	0.00458357947005	-0.00665704135843	-0.00104338491683	-0.000287558520135	-0.000297547176509	-0.000326967819475	-0.000194015399217	-2.38220351687e-05	1.257508867e-05	-2.45532733554e-05	-2.34311264505e-05	2.30748139426e-05	7.91668000282e-06	1.91801737918e-06	4.48765576181e-07	-1.08546859591e-07	7.87800777552e-07	-2.57560461577e-07	8.87016205977e-08	5.25849596063e-08	2.93482481075e-08	5.19113463125e-09	2.789892896e-08	6.23175775383e-09	-2.83746967027e-10	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	-0.000209286330042	0.00369241341046	-0.00666796847656	-0.00107343708752	-0.000319135417322	-0.000254925871134	-0.000314516135351	-0.000187691108518	-1.81592632088e-05	9.53615208208e-06	-2.35111944593e-05	-2.57759659317e-05	2.27967891543e-05	6.95180440255e-06	2.52735575409e-06	-3.30573287581e-08	-2.80583060716e-07	1.01906254174e-06	-4.17637099815e-07	1.71773571809e-07	1.41002312188e-08	9.89781229124e-08	1.14450112424e-08	3.81772021548e-08	4.91720854568e-09	-1.02036430145e-10	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	-0.037055030156	-0.00490427153025	-0.0122194713373	-0.000361420804926	-0.00237666448349	4.36102378177e-05	-0.000951119988156	-0.000541419742983	-0.000234925337616	-0.000349358503696	-5.89427225009e-05	0.000177692897421	2.32307626544e-05	-2.86279626767e-05	2.09208728146e-05	-1.90598040288e-07	1.02929255141e-05	-1.79909102212e-05	-3.14115123676e-06	-1.17032426219e-07	-4.18045444091e-06	1.45669731319e-06	1.95561144013e-07	1.03225958305e-07	4.26346610672e-08	8.75439904312e-08	5.28075770966e-10	5.72363170156e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other	0.104604304412	-0.0191281523738	-0.0245011636469	0.00252575967666	0.00626547941548	-0.000505407544125	0.00173153162555	0.000912981449194	0.000648861562166	0.000915883274199	0.00038193791495	-0.00041394832791	-0.000217463273987	-6.94784782941e-05	-2.26628014683e-05	2.19730650731e-05	-2.26630737115e-05	2.34939469651e-05	7.74422727439e-07	4.89843044109e-06	1.06383832128e-06	-2.44594935946e-06	-6.49895701726e-08	9.51538268748e-07	4.57611299356e-07	-5.10679999967e-08	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712666e-11
Even4;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium]	-0.00013027999913	0.00975852345158	-0.00976035265787	-0.00164809056342	-0.000668670132713	-0.00024828934372	-0.000383436908793	-0.000236362084177	-3.60638774202e-05	1.76475445815e-05	-5.0031640068e-05	-4.1945824643e-05	2.64586613436e-05	1.76534098548e-05	3.7573709009e-06	-1.21314614642e-07	9.84051903283e-09	5.26806135544e-07	-1.26735626404e-08	3.36946981815e-07	7.13589968999e-08	3.24055603105e-08	-4.37663125259e-08	5.16667163914e-08	1.97319375578e-08	-3.13576327897e-09	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even4;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae];g__Anaerococcus	-0.0150491248409	0.0078850911433	-0.0133554431676	-0.00220958221792	0.00102831934255	0.00226232634753	9.21395951513e-05	0.000242048193536	-5.47616144876e-05	-6.59032147263e-05	-1.89234334361e-05	-0.000108282297967	3.91217873277e-05	2.53455563075e-06	3.72181584075e-06	1.33537262045e-06	-1.61150339322e-07	1.37874142276e-06	3.78946189181e-07	1.23439452884e-07	5.09726074049e-07	-2.0887944393e-07	-1.65674935595e-07	-1.62856432129e-08	2.66403585617e-08	-1.13946088551e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even4;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	-0.0367739085912	-0.00501255028647	-0.0119399009812	-7.0983506608e-05	-0.00267695897766	-4.29108779572e-05	-0.000937576982944	-0.000525951237334	-0.000190612660783	-0.000330667082918	-7.30946438133e-05	0.000178993846911	6.22813114663e-06	-3.96488013935e-05	2.58350967681e-05	1.28672081458e-06	1.03967835503e-05	-2.00253258609e-05	-2.27103556689e-06	-4.38636738712e-07	-3.29222389055e-06	1.37770127501e-06	5.45661442851e-07	4.56007451222e-07	1.29837433895e-07	1.09418460594e-07	5.28075770966e-10	5.72363170156e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even3;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium]	-0.000345731741014	0.00973615000893	-0.00979298053245	-0.00164271406394	-0.00068545552535	-0.000256333383687	-0.000374440902723	-0.000235936659242	-3.05470399745e-05	1.72658998588e-05	-4.96286021231e-05	-4.31275440418e-05	2.50031431276e-05	1.71680783553e-05	4.60167766302e-06	-4.38128633377e-07	1.60984435226e-09	5.55327267223e-07	3.03770904761e-08	3.11046767245e-07	-5.16691833211e-08	6.90170810046e-08	-7.86881480865e-09	5.92341929626e-08	9.8260624437e-09	-2.68491639758e-09	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even4;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other	0.108724459528	-0.0180627612532	-0.0238364897184	0.00253236363445	0.0065968625991	-0.000437014913982	0.00172309212374	0.000920658445018	0.000613878747572	0.000814463765649	0.000402663718819	-0.000363098579632	-0.000203416802509	-5.90250406716e-05	-2.45790354618e-05	2.05908140872e-05	-2.25729219402e-05	2.62723376249e-05	1.81643466883e-06	5.53219294273e-06	4.3252332244e-07	-2.53456904122e-06	-7.81466346665e-07	3.90573091781e-07	3.23871698717e-07	-1.06224871492e-07	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712666e-11
Even3;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea	-0.0385478884395	-0.00430555618623	-0.0110598236641	-0.000352195593901	-0.00246458701191	-5.22977807964e-05	-0.000715287518331	-0.000510452632998	-0.000199112545165	-0.000284080689774	-4.6240022831e-05	0.000205740026482	5.92516694314e-07	-1.84878554766e-05	1.78412003024e-05	4.11704418235e-07	9.85162411739e-06	-1.83325079263e-05	-3.51589314525e-06	-2.22475085709e-07	-3.70174828494e-06	1.49696972449e-06	4.96333410815e-07	3.77084802777e-07	1.09224352163e-07	1.08031133174e-07	5.28075770966e-10	5.72363170156e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even3;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other	0.111450797277	-0.016105924823	-0.0231286973157	0.0032471491124	0.0067087952107	-0.000324766004663	0.00155732873718	0.000972465957726	0.00060105502085	0.000698128570922	0.000391651711533	-0.000334512280711	-0.000218715582113	-8.7322762824e-05	-7.27753515594e-06	2.50840212525e-05	-2.09636179157e-05	2.3208257507e-05	2.79397671944e-06	3.70880464084e-06	1.6036811867e-06	-2.26237184828e-06	-7.69128187147e-07	3.14583139891e-07	2.82983086174e-07	-9.87882179821e-08	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712666e-11
Even1;k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium]	-0.000515253260877	0.00968997160657	-0.00983749281676	-0.00163439967224	-0.000631552183892	-0.000250084765642	-0.000386834893619	-0.000238557861393	-3.39985467699e-05	1.66285975308e-05	-4.7864759231e-05	-4.33421122617e-05	2.49421017528e-05	1.87410292049e-05	4.67539550322e-06	-5.29322302099e-07	1.34958389491e-07	5.03054755479e-07	2.75626160472e-08	2.82894494664e-07	-2.24671095785e-08	6.25380454551e-08	-1.27647255121e-08	5.49393108591e-08	9.10236991205e-09	-2.89593635872e-09	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712668e-11
Even1;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	-0.101775882505	0.0840341215078	0.0222951658252	-0.00407335587407	-0.000195930311048	0.000802217339086	-0.00167122580681	-0.000361022334327	-0.000519226184898	-0.000691885059056	-0.000387659869411	0.000317895890234	0.000202380744531	5.70795237055e-05	2.50064540637e-05	-7.80107732764e-06	6.94137569532e-06	-2.61979434804e-06	3.43012290717e-06	-6.48686627493e-06	4.96573195959e-06	1.2162891733e-06	-8.75136193983e-07	-1.53831232218e-06	-5.68875795377e-07	-7.27653796258e-08	5.28075770964e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339198e-10	5.80339712672e-11
Even4;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	-0.101814139313	0.0846022319868	0.0225942801566	-0.00432954598447	6.83919830659e-05	0.000680536705943	-0.00155462211172	-0.000337751108117	-0.000488965448781	-0.000537587687864	-0.000392202432942	0.000257288494462	0.000181010581109	5.81332995573e-05	1.87129026198e-05	-5.51946833024e-06	4.68629991223e-06	-1.91512115092e-06	1.82687134023e-06	-6.85577584653e-06	4.86707691194e-06	1.06664200918e-06	-6.35593292314e-07	-1.2929877211e-06	-4.24697305881e-07	-3.45659792191e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339198e-10	5.80339712672e-11
Even1;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia	0.00556362758915	-0.0468581476611	-0.00488666287702	-0.00288432711701	-0.00325013412601	-0.000233663951008	0.00055374681248	-0.000253139074535	7.30157431042e-06	-0.000107625065035	0.000230789531239	-7.84487591413e-05	6.82634340796e-05	5.17971349553e-05	1.80997462758e-06	-3.54229411953e-06	-5.37425466489e-07	1.90630474281e-07	2.11360868392e-06	-1.08080157227e-06	5.93901698006e-07	-5.89298712854e-08	-3.59201838809e-07	-3.20230712892e-07	-1.05256816575e-07	-3.48330347508e-08	5.28075770966e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339197e-10	5.80339712667e-11
Even3;k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	-0.10203754811	0.0853537179967	0.0229685559414	-0.00456638526752	0.000298621195518	0.000581872209243	-0.00147397678454	-0.000318572120114	-0.000475463774424	-0.000469441785088	-0.000392799017912	0.000234219127432	0.000173874130877	5.16790607855e-05	1.56041705974e-05	-6.86697227793e-06	5.87585136041e-06	-2.41395169452e-06	1.18419706793e-06	-5.90593190354e-06	4.06375511009e-06	9.98495017822e-07	-5.93302416218e-07	-1.25241931751e-06	-4.19961797116e-07	-3.3640654732e-08	5.28075770965e-10	5.72363170155e-10	-2.33693375863e-10	-5.30905339198e-10	5.80339712672e-11
