Taxon	blast_100.0	blast_0.0001	blast_1e-06	blast_1.0	blast_1e-10	blast_1e-30	mothur_0.0	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	mothur_1.0	rdp_0.0	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rdp_1.0	rtax_single	rtax_paired	Expected
s__Anguillospora_rosea	0	0	0	0	0	0	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	
s__Candida_ernobii	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	0	5.64434953575e-05	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	5.64434953575e-05	3.7628996905e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	
s__Mastigamomeba_sp._atcc50617	0	0	0	0	0	0	0.000235181230656	0	0	0	0	0	0	0	0	0	0	0.000235181230656	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	0	0	
s__Trichonympha_sp._zntca	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Moniezia_expansa_(sheep_tapeworm)	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Cladochytrium_sp._nbrc_105429	0.000103479741489	0.000103479741489	0.000103479741489	0.000103479741489	0.000103479741489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Chlorarachniophyceae_sp._bc52	0	0	0	0	0	0	0.000244588479883	0	0	0	0	0	0	0	0	0	0	0.000244588479883	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Pseudochydorus_globosus	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Debaryomyces_sp._enrichment_culture_clone_mpsr02	0.000329253722919	0.000329253722919	0.000329253722919	0.000329253722919	0.000329253722919	0	4.70362461313e-05	4.70362461313e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176762212961	0.0177514792899	0	
s__Euglena_exilis	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Cordyceps_kanzashiana	0	0	0	0	0	0	6.58507445838e-05	0	0	0	0	0	0	0	0	0	0	6.58507445838e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Rhizopus_microsporus_var._rhizopodiformis	4.70362461313e-05	4.70362461313e-05	4.70362461313e-05	4.70362461313e-05	4.70362461313e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0.0166037948843	0.0189556071909	0.0217119312142	0.0976566542177	0.105831553795	0.114326299847	0.148973198747	0.168954196104	0.412846539543	0.362320203949	0	0.00245529204805	0.0218060037065	0.0277043489713	0.0402724339376	0.14091118616	0.143281812965	0.185670877979	0.164165906247	0.172350213074	0.255068155521	0.0750604415763	0.00420504040414	0	
Other	0	0	0	0	0	0	0	5.64434953575e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	5.64434953575e-05	6.58507445838e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	
s__Thraustochytriidae_sp._n4-103	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Lamproderma_sauteri	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Aspergillus_niger	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	0	0.000178737735299	0.000178737735299	0.000178737735299	0.000159923236846	0.000159923236846	0	0	0	0	0	0	0.000178737735299	0.000178737735299	0.000178737735299	0.000178737735299	7.525799381e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	
s__Rhabdomonas_incurva	0	0	0	0	0	0	0.000404511716729	5.64434953575e-05	0	0	0	0	0	0	0	0	0	0.000404511716729	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	5.64434953575e-05	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0.000103479741489	0	0	0	0	0	0	0	0	0	0	0	0	
s__Zygosaccharomyces_rouxii	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	3.7628996905e-05	0	0.000131701489168	4.70362461313e-05	0	0	0	0	0	0	0	0	0	0.000188144984525	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	
s__Lepisma_saccharina	0	0	0	0	0	0	0.000169330486073	0	0	0	0	0	0	0	0	0	0	0.000169330486073	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Fungal_sp._melon_seed	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Didymium_dubium	0	0	0	0	0	0	0.000178737735299	0	0	0	0	0	0	0	0	0	0	0.000178737735299	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0.000874874178042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Peziza_quelepidotia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000122294239941	5.64434953575e-05	0	
s__Cyphopelta_modesta	0	0	0	0	0	0	0.00037628996905	0	0	0	0	0	0	0	0	0	0	0.00037628996905	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Aspergillus_sydowii	0	0	0	0	0	0	2.82217476788e-05	2.82217476788e-05	0	0	0	0	0	0	0	0	0	2.82217476788e-05	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	0	0	
s__Filipodium_phascolosomae	0	0	0	0	0	0	7.525799381e-05	0	0	0	0	0	0	0	0	0	0	7.525799381e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Synchytrium_decipiens	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Mucor_indicus	2.82217476788e-05	2.82217476788e-05	2.82217476788e-05	2.82217476788e-05	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0.000141108738394	0.000771394436553	0.00375349244128	0.00685788468594	0.00746935588565	0.00672618319677	0.241596974629	0.238652505621	0	0	0	0	9.40724922625e-05	0.00182500634989	0.00522102332057	0.0077045371163	0.0099622769306	0.246874441445	0.243102134505	0.252753972211	7.525799381e-05	0	0	0	
s__Orius_agilis	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Pilostyles_berteroi	0	0	0	0	0	0	8.46652430363e-05	0	0	0	0	0	0	0	0	0	0	8.46652430363e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Pilidium_concavum	0	0	0	0	0	0	4.70362461313e-05	0	0	0	0	0	0	0	0	0	0	4.70362461313e-05	4.70362461313e-05	4.70362461313e-05	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	
s__Hydropisphaera_erubescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82217476788e-05	0	
Other	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000874874178042	0	0	0	0	0	0	0	0	0	0	0	0	
s__Ibirhynchus_dimorpha	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Candida_digboiensis	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Pseudokeronopsis_rubra	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0.0024741065465	0.00600182500635	0.0490964337118	0.0458979689749	0.0453711630182	0.0419281098014	0.000338660972145	0	0	0	0	0.0007525799381	0.00229536881121	0.00570079303111	0.0455781225012	0.042699504238	0.0411567153649	6.58507445838e-05	0	0	0	9.40724922625e-05	0	0	
s__Coccidioides_posadasii_rmscc_1037	0.0379112143818	0.0379112143818	0.0379112143818	0.0379112143818	0.0379112143818	0.0379112143818	0.0378829926341	0.0378829926341	0.0378641781357	0.0376854404004	0.0354935513307	0.0351266686108	0.0344775684142	0.0335462507408	5.64434953575e-05	0	0	0.0378641781357	0.0377889201419	0.035343035343	0.0341953509374	0.033470992747	0	0	0	0	0	0	0.0379300288803	0.0381369883632	0	
s__Anelpistina_puertoricensis	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	2.82217476788e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Buellia_elegans	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Pseudospirobolellidae_sp._china_sternum	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0.000442140713634	0.000178737735299	1.88144984525e-05	0	0	0	0	0	0	0	0	0.000432733464408	0.000188144984525	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	
s__Papiliotrema_bandonii	0.000460955212086	0.000460955212086	0.000460955212086	0.000460955212086	0.000460955212086	0.000329253722919	0.00271869502639	0.00271869502639	0.00177797010376	0.000809023433458	0.000385697218276	0.000178737735299	0.000112886990715	0.000112886990715	0	0	0	0.00271869502639	0.00271869502639	0.00269047327871	0.00153338162388	0.00144871638084	0.000357475470598	0.00015051598762	0.000141108738394	0.000112886990715	0	0	0.000169330486073	0.000348068221371	0	
s__Coenobita_compressus	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	3.7628996905e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Pseudocorynosoma_anatarium	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
s__Vanderwaltozyma_polyspora_dsm_70294	0.0139321361041	0.0139321361041	0.0139321361041	0.0139321361041	0.0139321361041	0.0133018504059	0.00192848609138	0.00178737735299	0.00158982511924	0.0014675308793	0.00142049463316	0.00142049463316	0	0	0	0	0	0.00274691677407	0.0024741065465	0.00217307457126	0.00165567586382	0.00148634537775	0.00143930913162	0.00142049463316	0	0	0	0	0.00143930913162	1.88144984525e-05	0	
Other	0	0	0	0	0	0	0	0	0	0.00045154796286	0.000592656701254	0.0024364775496	0.00246469929728	0.00303854150008	0.00313261399234	0.00308557774621	0.00797734734386	0	0	0	3.7628996905e-05	0.000507991458218	0.00239884855269	0.00251173554341	0.00260580803567	0.00313261399234	0.00303854150008	0.00797734734386	3.7628996905e-05	1.88144984525e-05	0	
Other	0	0	0	0	0	0	0	9.40724922625e-05	0.000319846473693	0.000573842202801	0.000630285698159	0.00101598291644	0.00259640078645	0.0110535178408	0.0136122896304	0.0156536627125	0.196460992841	0	8.46652430363e-05	0.000216366732204	0.000630285698159	0.000724358190422	0.00152397437465	0.00208840932823	0.00368764169669	0.0135652533843	0.205426101354	0.190111099613	0	0	0	
s__Sagitta_sp._gg-2005	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	1.88144984525e-05	1.88144984525e-05	0	1.88144984525e-05	5.64434953575e-05	0.00162745411614	0.00030103197524	0	0	0	0	1.88144984525e-05	0	0	1.88144984525e-05	7.525799381e-05	0.000131701489168	0.00212603832513	0	0	0	0	
Other	0	0	0	0	0	0	0	1.88144984525e-05	1.88144984525e-05	0	0	0	0	0	0	0	0	0	1.88144984525e-05	0	0	0	0	0	0	0	0	0	0	0	0	
s__Henneguya_pagri	0	0	0	0	0	0	0.000893688676494	0	0	0	0	0	0	0	0	0	0	0.000893688676494	0	0	0	0	0	0	0	0	0	0	0	0	0	
