,Dataset,SampleID,Reference,Method,Parameters,Precision,Recall,F-measure,Pearson r,Pearson p,Spearman r,Spearman p,best N alignments,confidence,coverage,e value,e-value,max accepts,min consensus fraction,similarity
1225,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9879518072289156,0.803921568627451,0.8864864864864864,0.20878331409850756,0.034307150335741436,0.5285479531529851,9.550562763766144e-09,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1361,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9772727272727273,0.819047619047619,0.8911917098445595,0.19958938310036764,0.039292954170978785,0.5187545030975217,1.0406094490361876e-08,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1497,B2-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.995249406175772,0.8073217726396917,0.8914893617021278,0.0838528669470834,0.05578008194142173,0.49802481398607734,5.23155328476615e-34,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1633,F1-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,1.0,0.719626168224299,0.8369565217391304,0.263437195890345,0.006113816636557887,0.6395647704526526,1.2173774220922152e-13,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1769,B1-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,1.0,0.916504854368932,0.9564336372847011,0.05452460645344838,0.21672906261544625,0.36761640886011465,6.344556921161789e-18,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1905,F1-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,1.0,0.8113207547169812,0.8958333333333334,0.20516845894763314,0.034876285526994934,0.5476749291579383,1.234648061184402e-09,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2041,B2-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9929078014184397,0.7969639468690702,0.8842105263157896,0.08561628219067856,0.04883842421378991,0.5205817761817197,3.8104116701511323e-38,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2177,B2-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9927184466019418,0.798828125,0.8852813852813853,0.08643736790189675,0.04993970079857456,0.5121342020135943,8.890217492753023e-36,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2313,F2-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9875,0.7745098039215687,0.8681318681318682,0.2395607841720201,0.014801281725160832,0.6000133856480573,2.11290094758966e-11,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2449,B2-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9976359338061466,0.8146718146718147,0.8969181721572795,0.08325750135624407,0.05803210413321295,0.5125513641674733,4.1458052163467995e-36,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2585,F1-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9642857142857143,0.7570093457943925,0.8481675392670157,0.2271853861590046,0.016994814758327266,0.5240629847004925,4.214962051856937e-09,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.975609756097561,0.7920792079207921,0.8743169398907104,0.21995611983491664,0.0255830539413185,0.5542254092168653,1.2524215031176875e-09,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
138,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9956803455723542,0.898635477582846,0.9446721311475409,0.05852630270948708,0.18481229483335293,0.40121156548215636,2.4425126489204018e-21,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
274,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9956709956709957,0.8949416342412452,0.9426229508196722,0.061818339160635026,0.1608619495708305,0.3826316699437738,1.9505540690212932e-19,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
410,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,1.0,0.8247422680412371,0.903954802259887,0.2074910045226029,0.041419270107942094,0.5898417416924906,2.0543581529226448e-10,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
546,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9928400954653938,0.8172888015717092,0.8965517241379309,0.08285362611207522,0.06101269747105457,0.47982557858479924,7.68680048920038e-31,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
682,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9937759336099585,0.9106463878326996,0.9503968253968254,0.053009461845469126,0.22353214338633784,0.3730867206135404,6.481331065441511e-19,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
818,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9782608695652174,0.8490566037735849,0.9090909090909092,0.17732196182187263,0.06636970154757628,0.5273404909261246,4.5284740705156134e-09,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
954,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9956709956709957,0.872865275142315,0.930232558139535,0.06454681597561271,0.13817770223754502,0.4048843293776513,2.7552546730119313e-22,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1090,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,1.0,0.82,0.9010989010989011,0.19752836497680681,0.04884934445189388,0.5021684975527576,1.0199138490233248e-07,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1226,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9885057471264368,0.8431372549019608,0.91005291005291,0.1859347631961677,0.060048845495505265,0.5186542497742709,1.9988899113012693e-08,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1362,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9891304347826086,0.8666666666666667,0.9238578680203046,0.1722183448962193,0.07751544144364443,0.5262353163346841,6.896969716963147e-09,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1498,B2-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,1.0,0.7976878612716763,0.887459807073955,0.08679511331310066,0.04812168133316554,0.5253996425596202,3.612452562212655e-38,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1634,F1-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,1.0,0.794392523364486,0.8854166666666666,0.2174659800095136,0.024444873257740647,0.5812155965669761,5.2466253981190465e-11,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1770,B1-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,1.0,0.9145631067961165,0.9553752535496957,0.05488039613544255,0.21374062695397703,0.3597046812770954,3.550707331872031e-17,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1906,F1-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,1.0,0.8207547169811321,0.9015544041450777,0.19916578704861798,0.040679905747201116,0.5440901199977334,1.6601072730320068e-09,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2042,B2-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9976303317535545,0.7988614800759013,0.8872497365648051,0.08563076542309177,0.049229892315467934,0.5324104897748734,5.5084137426104726e-40,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2178,B2-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9928571428571429,0.814453125,0.8948497854077254,0.08224615430190811,0.06216910192328855,0.48989482508102095,1.9189828376802e-32,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2314,F2-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,1.0,0.7647058823529411,0.8666666666666666,0.24983907942919292,0.011326868331394336,0.6422429118893457,3.455944735244923e-13,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2450,B2-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9906976744186047,0.8223938223938224,0.8987341772151898,0.08106159516770658,0.06422038660873357,0.5062171328766815,2.553563605830498e-35,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2586,F1-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9662921348314607,0.8037383177570093,0.8775510204081634,0.20282103875568633,0.0335829351622062,0.5232955810594174,4.4808881078420226e-09,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
3,F1-iter2,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9782608695652174,0.8910891089108911,0.9326424870466321,0.15237143023004315,0.1244120675787988,0.41981612904476223,1.012850219922769e-05,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
139,B1-iter0,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9879518072289156,0.9590643274853801,0.9732937685459939,0.0362551127401004,0.4098100474520743,0.2729200413109537,2.5656148248041456e-10,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
275,B1-iter3,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9782178217821782,0.9610894941634242,0.9695780176643768,0.03593814842167205,0.4112196717145006,0.22864276595695637,1.1791507727036071e-07,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
411,F2-iter4,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9782608695652174,0.9278350515463918,0.9523809523809524,0.12397122178584513,0.22149788554932637,0.3642496531132074,0.0002102377842004324,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
547,B2-iter2,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9617706237424547,0.9390962671905697,0.9502982107355864,0.044218681044593755,0.3105083443090781,0.27997547460261807,5.771729075587701e-11,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
683,B1-iter4,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9770114942528736,0.9695817490494296,0.9732824427480916,0.02986864813686394,0.4893512728641809,0.2271259575163561,1.0059245722097472e-07,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
819,F1-iter1,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9587628865979382,0.8773584905660378,0.916256157635468,0.1541943973207975,0.10775528899922576,0.45308881505709153,6.686157209629996e-07,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
955,B1-iter2,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9824561403508771,0.9563567362428842,0.9692307692307692,0.03575249461840552,0.4087690392289095,0.22908657922678238,8.192516374157579e-08,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1091,F2-iter0,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9887640449438202,0.88,0.9312169312169312,0.15999015615540946,0.110002831860031,0.47670154877985954,4.6697082115591623e-07,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1227,F2-iter3,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9789473684210527,0.9117647058823529,0.9441624365482234,0.13359415632070518,0.17637496295168206,0.38010436203878073,6.893799965812064e-05,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1363,F2-iter1,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9603960396039604,0.9238095238095239,0.941747572815534,0.12206653561017113,0.2060671589383757,0.35831812477141844,0.00013042156623828307,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1499,B2-iter3,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.9718875502008032,0.9325626204238922,0.9518190757128809,0.04604764842018505,0.2886173788331762,0.30881206726361615,3.060400592841071e-13,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1635,F1-iter3,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.979381443298969,0.8878504672897196,0.9313725490196078,0.14937265439947883,0.12108681989228255,0.40228396006434514,1.4496063059421525e-05,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
