,Dataset,SampleID,Reference,Method,Parameters,Precision,Recall,F-measure,Pearson r,Pearson p,Spearman r,Spearman p,best N alignments,confidence,coverage,e value,e-value,max accepts,min consensus fraction,similarity
1768,B1-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8656891495601173,0.8296795952782462,0.8473019517795637,0.09210091291753039,3.57552348527599e-05,0.251119960730692,2.978686240255679e-30,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1904,F1-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.2782334384858044,0.2280248190279214,0.2506393861892583,-0.5550461396109319,2.647693768845455e-248,-0.6877979253424442,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2040,B2-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8253588516746412,0.7718120805369127,0.7976878612716762,0.09824544807159855,7.16082813354297e-06,0.23120341198577227,1.2195952550014269e-26,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2176,B2-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8309945088468579,0.7596207473508088,0.7937062937062936,0.10214843278331677,3.210822596767555e-06,0.24402460240319437,1.9208917097918042e-29,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2312,F2-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.2584856396866841,0.21521739130434783,0.23487544483985764,-0.548894682339469,7.929786043086025e-234,-0.7114204041440609,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2448,B2-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.8335336538461539,0.7646085997794928,0.7975848188614146,0.10526580510733613,1.4066041435742524e-06,0.2520060393131035,1.1856688380795388e-31,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2584,F1-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:1:0.8:1.0:partial-ref,0.27522349936143037,0.22648449816079874,0.24848659556068026,-0.5336411035508445,3.0140217812814173e-223,-0.691159572163215,0.0,[1.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.4879120879120879,0.12171052631578948,0.19482229047827995,-0.3281358373751474,7.781732440984627e-53,-0.4778760390557525,7.6016414617030515e-118,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
137,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9777587681779298,0.6417742841100506,0.7749152542372882,0.15750776940842717,1.6631030249992517e-11,0.5025842062674594,2.8719142028022565e-116,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
273,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9719626168224299,0.6437816544738323,0.7745429925524712,0.1659492364646415,1.20673796817877e-12,0.5062767217314013,2.01040952104854e-118,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
409,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.46965699208443273,0.09575040344271113,0.1590705987488829,-0.280597535982293,1.4008245825519683e-38,-0.4802743313507413,2.3808101592121144e-119,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
545,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9714576962283384,0.5372040586245772,0.6918330308529945,0.19110162487803273,2.788303875362404e-16,0.5303176874308281,2.994448215710186e-131,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
681,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9714285714285714,0.6362135388002201,0.7688726305287662,0.1560401438496962,1.4763542715288643e-11,0.5028899665814321,3.204756334846729e-119,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
817,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.48498845265588914,0.10785824345146379,0.1764705882352941,-0.3807103616859971,8.633522006717396e-76,-0.49604108870521896,3.7396321072912797e-135,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
953,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9745977984758679,0.6440962506994964,0.7756064690026954,0.155861844558961,2.3877604892920367e-11,0.4982146470069598,1.3421823563313775e-114,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1089,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.42010309278350516,0.0852510460251046,0.1417391304347826,-0.38653548049977876,4.2210278195783576e-77,-0.5468470341831609,5.960301774333629e-167,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1225,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.45363408521303256,0.0969989281886388,0.1598233995584989,-0.2596840347813732,1.823624498718396e-33,-0.4670997795173798,1.9741206679616522e-113,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1361,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.4400977995110024,0.09259259259259259,0.15299617509562258,-0.349164011841857,2.498991022249997e-63,-0.5022084155240624,3.2947565431544117e-139,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1497,B2-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9656218402426694,0.5398530243075184,0.6925308194343727,0.19060908889439038,3.2699303876176074e-16,0.5325067754194996,1.3637413581689675e-132,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1633,F1-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.5156626506024097,0.11322751322751323,0.1856832971800434,-0.22538602562288634,1.721420743988145e-25,-0.42266265351288773,2.2040093647078224e-91,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1769,B1-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9829351535836177,0.6475548060708263,0.7807522873602168,0.1637867328623766,2.7611888765393504e-12,0.5075696370418535,2.101206258988398e-118,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
1905,F1-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.4735576923076923,0.10186142709410548,0.16765957446808508,-0.30221659440009585,1.0390127554767076e-46,-0.4750683670834982,1.2192497727255901e-121,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2041,B2-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9683026584867076,0.5296420581655481,0.6847433116413594,0.19013279489848536,2.8799723160903007e-16,0.5479405498127202,4.675574113266895e-143,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2177,B2-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9728370221327968,0.5393195761293921,0.6939361320416219,0.1882667069964372,5.553249484326486e-16,0.54508724013703,2.238705180135829e-141,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2313,F2-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.4190231362467866,0.08858695652173913,0.14625392552714223,-0.2945629927766797,1.2393726918427836e-42,-0.5338884977820414,1.3716485474224453e-152,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2449,B2-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.9704081632653061,0.5242557883131201,0.6807444523979956,0.1967401981023838,1.544050593596036e-17,0.5495556634701613,6.182602004440414e-146,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2585,F1-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.9:5:0.8:1.0:partial-ref,0.4976958525345622,0.11350499211770888,0.1848523748395379,-0.2802295437062822,1.4370490739112904e-39,-0.481337286898003,1.9241947263132162e-123,[5.0],,"[0.0, '.', 8.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 9.0]"
2,F1-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.5520504731861199,0.09594298245614036,0.16347501167678657,-0.19611912306059648,1.6989396861700177e-18,-0.35778090514181293,1.922575460330093e-60,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
138,B1-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9782608695652174,0.6316676024705222,0.767656090071648,0.15996976346818106,8.05225018515792e-12,0.5096968954643111,5.2898158001227594e-120,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
274,B1-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9755030621172354,0.6274620146314013,0.7636986301369864,0.17178947474981185,2.0095286288341877e-13,0.5201161028204225,1.1569050689722078e-125,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
410,F2-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.528052805280528,0.08606777837547068,0.14801110083256244,-0.20510867426534105,1.8558824299624833e-20,-0.39299850535182135,6.254767278841823e-75,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
546,B2-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9753340184994861,0.5349492671927847,0.6909355660720786,0.1902617619692364,4.070134993645302e-16,0.524160053650672,1.8878608345729784e-127,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
682,B1-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9782608695652174,0.6191524490919097,0.7583417593528816,0.16158429662709137,3.0339582895250807e-12,0.5102709965012975,1.124229415169437e-122,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
818,F1-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.514018691588785,0.0847457627118644,0.1455026455026455,-0.3142523294686831,2.0146751336062756e-49,-0.4358998217700623,2.8777323122881636e-98,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
954,B1-iter2,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.979075850043592,0.6284275321768327,0.7655078391274711,0.16154821289323726,4.660689792991206e-12,0.513105566151767,3.4577093579492307e-122,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1090,F2-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.44984802431610943,0.07740585774058577,0.13208389112003568,-0.31800389941871887,2.1346458337823777e-50,-0.4931971445296006,9.925641256837112e-129,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1226,F2-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.5241157556270096,0.08735262593783494,0.14974735875057418,-0.16310588321458894,1.7764293319561007e-13,-0.3700567000900788,2.1711873992979184e-66,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1362,F2-iter1,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.48742138364779874,0.07973251028806584,0.13704686118479223,-0.26278387288816357,1.2890933768677133e-34,-0.4221576436073004,7.865087858674566e-92,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1498,B2-iter3,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9734422880490297,0.5387224420576597,0.6935953420669578,0.19196568729277613,2.328256564681743e-16,0.5412280493912726,3.8493658829655303e-137,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1634,F1-iter3,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.5537459283387622,0.08994708994708994,0.15475648611743284,-0.1281051671783209,7.127917127920645e-09,-0.33266555395960873,1.4222795984181116e-53,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1770,B1-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9829205807002562,0.6469926925238898,0.7803389830508475,0.1620008595392824,4.774155785323659e-12,0.491392610278377,5.490949038476206e-110,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
1906,F1-iter0,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.504885993485342,0.08014477766287487,0.1383311021865239,-0.2113541719671566,1.708701948147323e-22,-0.3888388133114669,2.9446836261149417e-76,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2042,B2-iter0,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9744637385086823,0.5335570469798657,0.6895554752439464,0.1884749481081076,5.858178633594605e-16,0.546534333112936,1.0018295699773699e-141,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2178,B2-iter4,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9815384615384616,0.5337423312883436,0.6914739884393064,0.19242290933321465,1.4521525177485668e-16,0.5646804931613005,4.795306566351247e-153,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2314,F2-iter2,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.49834983498349833,0.08206521739130435,0.1409239384041064,-0.18653887106206363,4.693758915061075e-17,-0.42936724101810636,3.644959671614532e-90,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2450,B2-iter1,S1,gg_13_8_otus,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.9746192893401016,0.5292171995589857,0.6859592711682745,0.19460450496287934,3.755731794128559e-17,0.5437796005911029,5.028068714037788e-142,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
2586,F1-iter4,S1,unite-97-rep-set,sortmerna,0.76:0.8:3:0.9:1.0:partial-ref,0.5119047619047619,0.09038360483447189,0.15364001786511836,-0.2053047299896543,4.140337167600753e-21,-0.41833931934102836,2.2718716656262014e-88,[3.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[0.0, '.', 7.0, 6.0]","[0.0, '.', 8.0]"
3,F1-iter2,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.2793821356615178,0.22807017543859648,0.2511319046181708,-0.5685417247047679,9.343076042723017e-248,-0.6875926507503446,0.0,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
139,B1-iter0,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.8488032691185056,0.8163952835485683,0.8322839152833429,0.09094874189693562,3.8914162212205596e-05,0.2512479583384523,9.714626350810232e-31,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
275,B1-iter3,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.8497041420118343,0.8081035453010692,0.828381886357081,0.09607872446370366,1.4423416401815925e-05,0.23779041663509293,1.6731566636451787e-27,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
411,F2-iter4,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.2605820105820106,0.21194190424959655,0.2337585286265203,-0.566925162916585,8.570282080390041e-253,-0.7082941298582156,0.0,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
547,B2-iter2,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.8313180169286578,0.7750845546786922,0.8022170361726955,0.10113372191433127,4.403705902245921e-06,0.23944150961862473,3.6990912440546726e-28,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
683,B1-iter4,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.8486612339930152,0.802421574023115,0.8248939179632249,0.09159314738168577,2.908001707116904e-05,0.23815705009539131,3.575502500808826e-28,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
819,F1-iter1,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.27579617834394904,0.2223934257832563,0.24623258458913846,-0.6077714936910598,6.4421096867176e-311,-0.6974758163509212,0.0,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
955,B1-iter2,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.8541051388068518,0.8091773922775601,0.8310344827586207,0.09176302311587806,3.40251330743949e-05,0.24263366132842915,1.2221472008032893e-28,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1091,F2-iter0,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.25223499361430396,0.2065899581589958,0.22714203565267393,-0.6057145735194297,3.5773535288118007e-308,-0.7203088129830336,0.0,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1227,F2-iter3,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.2446877012234385,0.20364415862808147,0.22228721848493713,-0.5469743680455452,9.439065140304802e-237,-0.7054343162773619,0.0,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1363,F2-iter1,S1,unite-97-rep-set,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.25818639798488663,0.2109053497942387,0.23216308040770103,-0.5818055608514145,2.6223285262241165e-282,-0.7031444833322201,0.0,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
1499,B2-iter3,S1,gg_13_8_otus,sortmerna,1.0:0.8:1:0.9:1.0:partial-ref,0.8327250608272506,0.7738835500282646,0.8022267799589804,0.10146212133362491,4.302153500932683e-06,0.24106856585078948,2.0588378197103372e-28,[1.0],,"[0.0, '.', 9.0]","[1.0, '.', 0.0]",,,"[1.0, '.', 0.0]","[0.0, '.', 8.0]"
