,Dataset,level,iteration,Method,Parameters,match_ratio,overclassification_ratio,underclassification_ratio,misclassification_ratio,mismatch_level_list,Precision,Recall,F-measure
13,B1-REF,6,0,blast+,0.001:10:0.51:0.8,0.0,0.0,0.002617801047120419,0.9973821989528796,"[26, 237, 79, 25, 13, 2, 0, 0]","[0, 0.31233595800524933, 0.10498687664041995, 0.039577836411609502, 0.0053908355795148251, 0.0, 0.0]","[0, 0.31151832460732987, 0.10471204188481675, 0.039267015706806283, 0.005235602094240838, 0.0, 0.0]","[0, 0.31192660550458717, 0.10484927916120576, 0.039421813403416557, 0.0053120849933598942, 0.0, 0.0]"
14,B1-REF,6,0,blast+,0.001:10:0.51:0.97,0.0,0.0,0.06544502617801047,0.9345549738219895,"[49, 227, 60, 22, 15, 5, 4, 0]","[0, 0.29608938547486036, 0.12849162011173185, 0.067039106145251395, 0.025210084033613446, 0.012422360248447204, 0.0]","[0, 0.27748691099476441, 0.12041884816753927, 0.062827225130890049, 0.02356020942408377, 0.010471204188481676, 0.0]","[0, 0.28648648648648656, 0.12432432432432433, 0.064864864864864868, 0.024357239512855205, 0.011363636363636362, 0.0]"
15,B1-REF,6,0,blast+,0.001:10:0.51:0.99,0.002617801047120419,0.0,0.3089005235602094,0.6884816753926701,"[135, 173, 43, 15, 9, 6, 1, 0]","[0, 0.2781954887218045, 0.11654135338345864, 0.060150375939849621, 0.026315789473684209, 0.0039215686274509803, 0.0]","[0, 0.193717277486911, 0.081151832460732987, 0.041884816753926704, 0.01832460732984293, 0.002617801047120419, 0.0]","[0, 0.22839506172839508, 0.095679012345679021, 0.049382716049382713, 0.021604938271604937, 0.0031397174254317113, 0.0]"
16,B1-REF,6,0,blast+,0.001:10:0.75:0.8,0.0,0.0,0.02356020942408377,0.9764397905759162,"[28, 235, 71, 23, 16, 8, 1, 0]","[0, 0.31315789473684208, 0.12664907651715041, 0.068119891008174394, 0.025352112676056339, 0.0044444444444444444, 0.0]","[0, 0.31151832460732987, 0.1256544502617801, 0.065445026178010471, 0.02356020942408377, 0.002617801047120419, 0.0]","[0, 0.31233595800524933, 0.12614980289093297, 0.066755674232309756, 0.024423337856173677, 0.0032948929159802307, 0.0]"
17,B1-REF,6,0,blast+,0.001:10:0.75:0.97,0.0,0.0,0.06544502617801047,0.9345549738219895,"[51, 227, 63, 25, 12, 3, 1, 0]","[0, 0.29050279329608941, 0.11452513966480447, 0.044692737430167599, 0.011331444759206799, 0.0036496350364963502, 0.0]","[0, 0.27225130890052357, 0.10732984293193717, 0.041884816753926704, 0.010471204188481676, 0.002617801047120419, 0.0]","[0, 0.28108108108108115, 0.11081081081081082, 0.043243243243243246, 0.010884353741496598, 0.0030487804878048782, 0.0]"
18,B1-REF,6,0,blast+,0.001:10:0.75:0.99,0.0,0.0,0.31151832460732987,0.6884816753926701,"[135, 176, 38, 14, 12, 7, 0, 0]","[0, 0.26691729323308272, 0.12406015037593984, 0.071428571428571425, 0.026515151515151516, 0.0, 0.0]","[0, 0.18586387434554974, 0.086387434554973816, 0.049738219895287955, 0.01832460732984293, 0.0, 0.0]","[0, 0.2191358024691358, 0.10185185185185186, 0.058641975308641972, 0.021671826625386997, 0.0, 0.0]"
19,B1-REF,6,0,blast+,0.001:10:0.99:0.8,0.0,0.0,0.049738219895287955,0.9502617801047121,"[26, 250, 58, 25, 13, 9, 1, 0]","[0, 0.28042328042328041, 0.12834224598930483, 0.064606741573033713, 0.030769230769230771, 0.0059523809523809521, 0.0]","[0, 0.27748691099476441, 0.1256544502617801, 0.060209424083769635, 0.026178010471204188, 0.002617801047120419, 0.0]","[0, 0.27894736842105261, 0.126984126984127, 0.062330623306233068, 0.02828854314002829, 0.0036363636363636368, 0.0]"
20,B1-REF,6,0,blast+,0.001:10:0.99:0.97,0.002617801047120419,0.0,0.08376963350785341,0.9136125654450262,"[47, 220, 60, 36, 7, 10, 1, 1]","[0, 0.32122905027932963, 0.15363128491620112, 0.053221288515406161, 0.034883720930232558, 0.0085470085470085479, 0.006369426751592357]","[0, 0.30104712041884818, 0.14397905759162305, 0.049738219895287955, 0.031413612565445025, 0.005235602094240838, 0.002617801047120419]","[0, 0.3108108108108108, 0.14864864864864868, 0.05142083897158322, 0.033057851239669415, 0.0064935064935064948, 0.0037105751391465673]"
21,B1-REF,6,0,blast+,0.001:10:0.99:0.99,0.0,0.0,0.3193717277486911,0.680628272251309,"[134, 179, 38, 11, 10, 8, 2, 0]","[0, 0.25939849624060152, 0.11654135338345864, 0.075187969924812026, 0.038022813688212927, 0.0097560975609756097, 0.0]","[0, 0.1806282722513089, 0.081151832460732987, 0.052356020942408377, 0.026178010471204188, 0.005235602094240838, 0.0]","[0, 0.21296296296296297, 0.095679012345679021, 0.061728395061728399, 0.031007751937984496, 0.0068143100511073255, 0.0]"
22,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.0",0.005235602094240838,0.0,0.0,0.9947643979057592,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]"
23,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.1",0.005235602094240838,0.0,0.0,0.9947643979057592,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.0026246719160104987]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.0026212319790301442]"
24,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.2",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010498687664041995, 0.0026525198938992041]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010484927916120577, 0.0026350461133069825]"
25,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.3",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010610079575596816, 0.0027322404371584699]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.01054018445322793, 0.0026737967914438501]"
26,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.4",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031578947368421054, 0.01078167115902965, 0.0028901734104046241]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031496062992125984, 0.010624169986719788, 0.0027472527472527475]"
27,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.5",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031578947368421054, 0.01092896174863388, 0.0029940119760479044]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031496062992125984, 0.0106951871657754, 0.0027932960893854749]"
28,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.6",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031578947368421054, 0.011080332409972299, 0.0031645569620253164]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031496062992125984, 0.010767160161507401, 0.0028653295128939823]"
29,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.7",0.002617801047120419,0.0,0.005235602094240838,0.9921465968586387,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031662269129287601, 0.011363636363636364, 0.0033444816053511705]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031537450722733243, 0.010899182561307902, 0.0029368575624082226]"
30,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.8",0.002617801047120419,0.0,0.005235602094240838,0.9921465968586387,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031662269129287601, 0.011627906976744186, 0.003472222222222222]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031537450722733243, 0.011019283746556474, 0.0029850746268656717]"
31,B1-REF,6,0,naive-bayes,"0.001:[10,10]:0.9",0.002617801047120419,0.0,0.007853403141361256,0.9895287958115183,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068241469816272965, 0.031830238726790451, 0.012084592145015106, 0.0037037037037037038]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068152031454783754, 0.031620553359683792, 0.011220196353436187, 0.0030674846625766872]"
32,B1-REF,6,0,naive-bayes,"0.001:[10,10]:1.0",0.0,0.0,0.5863874345549738,0.41361256544502617,"[202, 129, 28, 15, 4, 2, 2, 0]","[0, 0.28491620111731841, 0.14285714285714285, 0.081632653061224483, 0.059701492537313432, 0.04878048780487805, 0.0]","[0, 0.13350785340314136, 0.060209424083769635, 0.020942408376963352, 0.010471204188481676, 0.005235602094240838, 0.0]","[0, 0.18181818181818182, 0.084714548802946585, 0.033333333333333333, 0.017817371937639201, 0.0094562647754137131, 0.0]"
33,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.0",0.005235602094240838,0.0,0.0,0.9947643979057592,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]"
34,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.1",0.005235602094240838,0.0,0.0,0.9947643979057592,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.0026246719160104987]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.0026212319790301442]"
35,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.2",0.005235602094240838,0.0,0.0,0.9947643979057592,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010498687664041995, 0.0026666666666666666]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010484927916120577, 0.0026420079260237777]"
36,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.3",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010582010582010581, 0.0027397260273972603]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010526315789473684, 0.0026773761713520753]"
37,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.4",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.0106951871657754, 0.0028985507246376812]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010582010582010583, 0.002751031636863824]"
38,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.5",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010869565217391304, 0.0029850746268656717]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010666666666666666, 0.0027894002789400278]"
39,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.6",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010958904109589041, 0.0031645569620253164]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010709504685408301, 0.0028653295128939823]"
40,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.7",0.002617801047120419,0.0,0.007853403141361256,0.9895287958115183,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068241469816272965, 0.031662269129287601, 0.011331444759206799, 0.0033333333333333335]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068152031454783754, 0.031537450722733243, 0.010884353741496598, 0.0029325513196480943]"
41,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.8",0.002617801047120419,0.0,0.007853403141361256,0.9895287958115183,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068241469816272965, 0.031830238726790451, 0.011764705882352941, 0.0035971223021582736]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068152031454783754, 0.031620553359683792, 0.011080332409972299, 0.0030303030303030307]"
42,B1-REF,6,0,naive-bayes,"0.001:[8,8]:0.9",0.002617801047120419,0.0,0.010471204188481676,0.9869109947643979,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068241469816272965, 0.031914893617021274, 0.012269938650306749, 0.0039215686274509803]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068152031454783754, 0.031662269129287594, 0.011299435028248588, 0.0031397174254317113]"
43,B1-REF,6,0,naive-bayes,"0.001:[8,8]:1.0",0.0,0.0,0.6701570680628273,0.3298429319371728,"[228, 106, 27, 14, 4, 1, 2, 0]","[0, 0.30769230769230771, 0.17073170731707318, 0.10144927536231885, 0.071428571428571425, 0.071428571428571425, 0.0]","[0, 0.1256544502617801, 0.054973821989528798, 0.01832460732984293, 0.0078534031413612562, 0.005235602094240838, 0.0]","[0, 0.17843866171003714, 0.083168316831683173, 0.031042128603104211, 0.014150943396226417, 0.0097560975609756097, 0.0]"
44,B1-REF,6,0,naive-bayes,"0.001:[9,9]:0.0",0.005235602094240838,0.0,0.0,0.9947643979057592,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]"
45,B1-REF,6,0,naive-bayes,"0.001:[9,9]:0.1",0.005235602094240838,0.0,0.0,0.9947643979057592,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010498687664041995, 0.0026246719160104987]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010484927916120577, 0.0026212319790301442]"
46,B1-REF,6,0,naive-bayes,"0.001:[9,9]:0.2",0.005235602094240838,0.0,0.0,0.9947643979057592,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010498687664041995, 0.0026385224274406332]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010484927916120577, 0.0026281208935611039]"
47,B1-REF,6,0,naive-bayes,"0.001:[9,9]:0.3",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010498687664041995, 0.0027247956403269754]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010484927916120577, 0.0026702269692923902]"
48,B1-REF,6,0,naive-bayes,"0.001:[9,9]:0.4",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010610079575596816, 0.0029239766081871343]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.01054018445322793, 0.0027624309392265192]"
49,B1-REF,6,0,naive-bayes,"0.001:[9,9]:0.5",0.002617801047120419,0.0,0.0,0.9973821989528796,"[28, 225, 68, 35, 14, 8, 3, 1]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031496062992125984, 0.010869565217391304, 0.003003003003003003]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.031413612565445025, 0.010471204188481676, 0.002617801047120419]","[0, 0.33769633507853403, 0.15968586387434555, 0.068062827225130892, 0.03145478374836172, 0.010666666666666666, 0.0027972027972027972]"
