	Dataset	Level	SampleID	Reference	Method	Parameters	Precision	Recall	F-measure	Taxon Accuracy Rate	Taxon Detection Rate
21	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
22	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.35	0.7777777777777778
23	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.44555576940040575	0.7612946467821661	0.5621230560790962	0.20689655172413796	0.42857142857142855
24	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.4455431649700245	0.7612603920341725	0.5621036869914484	0.2894736842105263	0.5238095238095238
25	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
26	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
27	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.35	0.7777777777777778
28	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.44555576940040575	0.7612946467821661	0.5621230560790962	0.20689655172413796	0.42857142857142855
29	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.4455461424493961	0.7612603920341725	0.5621060565693493	0.28205128205128205	0.5238095238095238
30	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
31	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
32	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.5851280741677652	0.99939940008518	0.7381085601838051	0.3333333333333333	0.7777777777777778
33	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.4453959766899113	0.7607271597904066	0.5618411687518763	0.1935483870967742	0.42857142857142855
34	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.4453988484752861	0.760692905042413	0.5618341108145865	0.2682926829268293	0.5238095238095238
35	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
36	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
37	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.5851280741677652	0.99939940008518	0.7381085601838051	0.3333333333333333	0.7777777777777778
38	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.44540729177460814	0.7607271597904066	0.5618501711512887	0.2	0.42857142857142855
39	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.4453988484752861	0.760692905042413	0.5618341108145865	0.275	0.5238095238095238
40	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
41	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
42	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.5852024053562904	0.99939940008518	0.7381676971881795	0.3333333333333333	0.7777777777777778
43	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.4454829389498516	0.7607271597904066	0.5619103524938727	0.1935483870967742	0.42857142857142855
44	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.44547449618923946	0.760692905042413	0.5618942914266604	0.2682926829268293	0.5238095238095238
45	mock-12	2	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
46	mock-12	3	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.5852384926948936	0.9999668870769396	0.7383511577811407	0.3333333333333333	1.0
47	mock-12	4	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.5883027060452486	0.99939940008518	0.7406293274033232	0.3333333333333333	0.7777777777777778
48	mock-12	5	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.4480323544028336	0.7607271597904066	0.5639341431559382	0.1935483870967742	0.42857142857142855
49	mock-12	6	Extreme.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.4480179908754411	0.7606746358434832	0.5639083328995198	0.2682926829268293	0.5238095238095238
50	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.6905428054848033	1.0	0.8169480278693964	0.9166666666666666	0.8461538461538461
51	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.6905428054848033	1.0	0.8169480278693964	0.7058823529411765	0.8571428571428571
52	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.6905428054848033	1.0	0.8169480278693964	0.7222222222222222	0.8666666666666667
53	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.6183535032267429	0.8954600617301647	0.7315443314662659	0.4736842105263158	0.6
54	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.4965291066738812	0.7190417490850366	0.5874197388707819	0.3809523809523809	0.5333333333333333
55	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.6907023252437117	1.0	0.8170596502186134	0.8461538461538461	0.8461538461538461
56	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.7354472813139086	1.0	0.8475593459192846	0.7058823529411765	0.8571428571428571
57	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.7795374129390293	1.0	0.8761124180598926	0.7222222222222222	0.8666666666666667
58	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.8929854486892385	0.8954600617301647	0.8942210431894957	0.4736842105263158	0.6
59	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.7184787694187967	0.7190417490850366	0.7187601490113669	0.4	0.5333333333333333
60	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.7335913019705159	1.0	0.8463255452847127	0.7857142857142857	0.8461538461538461
61	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.7795374129390293	1.0	0.8761124180598926	0.75	0.8571428571428571
62	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.7795374129390293	1.0	0.8761124180598926	0.7647058823529411	0.8666666666666667
63	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.8929854486892385	0.8954600617301647	0.8942210431894957	0.5	0.6
64	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.7184787694187967	0.7190417490850366	0.7187601490113669	0.42105263157894735	0.5333333333333333
65	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.7346625013162975	1.0	0.8470379693557917	0.7333333333333333	0.8461538461538461
66	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.7807471071420578	1.0	0.8768758955280158	0.7058823529411765	0.8571428571428571
67	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.7807471071420578	1.0	0.8768758955280158	0.7222222222222222	0.8666666666666667
68	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.8947589538913979	0.8954600617301647	0.8951093705224951	0.4736842105263158	0.6
69	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.7184787694187967	0.7190417490850366	0.7187601490113669	0.42105263157894735	0.5333333333333333
70	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.7346625013162975	1.0	0.8470379693557917	0.7857142857142857	0.8461538461538461
71	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.8560245398773006	1.0	0.922428040670078	0.75	0.8571428571428571
72	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.8560245398773006	1.0	0.922428040670078	0.7647058823529411	0.8666666666666667
73	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.8947589538913979	0.8954600617301647	0.8951093705224951	0.5	0.6
74	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.7184787694187967	0.7190417490850366	0.7187601490113669	0.4444444444444444	0.5333333333333333
75	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.7346625013162975	1.0	0.8470379693557917	0.8461538461538461	0.8461538461538461
76	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.9980258640421148	1.0	0.9990119567552088	0.8	0.8571428571428571
77	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.9980258640421148	1.0	0.9990119567552088	0.8125	0.8666666666666667
78	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.8947589538913979	0.8954600617301647	0.8951093705224951	0.5294117647058824	0.6
79	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.7184787694187967	0.7190417490850366	0.7187601490113669	0.4705882352941176	0.5333333333333333
80	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.7346625013162975	1.0	0.8470379693557917	0.8461538461538461	0.8461538461538461
81	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.9992170417545904	1.0	0.9996083675613716	0.8	0.8571428571428571
82	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.9992170417545904	1.0	0.9996083675613716	0.8125	0.8666666666666667
83	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.8947589538913979	0.8954600617301647	0.8951093705224951	0.5625	0.6
84	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.7181477516059958	0.7178663914609791	0.7180070439698553	0.4705882352941176	0.5333333333333333
85	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.8012940275650843	1.0	0.8896870975009458	0.7857142857142857	0.8461538461538461
86	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.9992170417545904	1.0	0.9996083675613716	0.75	0.8571428571428571
87	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.9992170417545904	1.0	0.9996083675613716	0.7647058823529411	0.8666666666666667
88	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.8946352095442032	0.894284704106107	0.8944599224876587	0.5	0.6
89	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.6987493869543894	0.6534988389760055	0.6753669989778838	0.3888888888888889	0.4666666666666667
90	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.9984257828152728	1.0	0.9992122713796708	0.7857142857142857	0.8461538461538461
91	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.9992170417545904	1.0	0.9996083675613716	0.75	0.8571428571428571
92	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.9992170417545904	1.0	0.9996083675613716	0.7647058823529411	0.8666666666666667
93	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.8770867709815078	0.73650010989116	0.8006690075003635	0.4444444444444444	0.5333333333333333
94	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.6669928876244666	0.560081797246032	0.6088799318526522	0.3888888888888889	0.4666666666666667
95	mock-18	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.9992170417545904	1.0	0.9996083675613716	0.7857142857142857	0.8461538461538461
96	mock-18	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.9992170417545904	1.0	0.9996083675613716	0.8	0.8571428571428571
97	mock-18	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.9992170417545904	1.0	0.9996083675613716	0.8125	0.8666666666666667
98	mock-18	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.877163360067539	0.7347036283194297	0.7996380692868509	0.4117647058823529	0.4666666666666667
99	mock-18	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.6665373689434475	0.5582853156743017	0.607627585776539	0.35294117647058826	0.4
100	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.4769185260030113	1.0	0.6458291606561362	0.42105263157894735	0.8888888888888888
101	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.4768919363576839	0.9999442469858528	0.6457931537338053	0.3125	0.9090909090909092
102	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.4768819652406862	0.9999233396055476	0.6457796511379312	0.3191489361702128	0.8823529411764706
103	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.4768819652406862	0.9999233396055476	0.6457796511379312	0.2542372881355932	0.8823529411764706
104	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.0	0.31927516626837593	0.6694543173740329	0.4323531198872984	0.15789473684210525	0.631578947368421
105	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.5827123393368393	1.0	0.7363464918470242	0.5714285714285714	0.8888888888888888
106	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.7708375866329984	0.9999024322252422	0.8705539712396091	0.4545454545454545	0.9090909090909092
107	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.7708546007457474	0.999881524844937	0.8705568972003447	0.4411764705882353	0.8823529411764706
108	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.8634109646747307	0.999881524844937	0.9266485823160886	0.40540540540540543	0.8823529411764706
109	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.1	0.5954772000297552	0.6694543173740329	0.6303025530993485	0.24489795918367346	0.631578947368421
110	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.5961461760893411	1.0	0.7469819306273524	0.6153846153846154	0.8888888888888888
111	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.7708707192056823	0.9999024322252422	0.8705751004211012	0.5	0.9090909090909092
112	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.8634109646747307	0.999881524844937	0.9266485823160886	0.4838709677419355	0.8823529411764706
113	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.8893910089513749	0.999881524844937	0.9414053529130004	0.4545454545454545	0.8823529411764706
114	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.2	0.5954605479333156	0.6693567495992752	0.6302499778533861	0.24444444444444444	0.5789473684210527
115	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.8634771619425889	0.9999581852393896	0.9267196279790738	0.6153846153846154	0.8888888888888888
116	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.8634249089760179	0.9998675865914	0.9266506273110396	0.5263157894736842	0.9090909090909092
117	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.86344842528452	0.9998466792110948	0.9266551912338891	0.5	0.8823529411764706
118	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.8894316906691134	0.9998466792110948	0.9414126964858116	0.46875	0.8823529411764706
119	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.3	0.5954900830186808	0.6693567495992752	0.6302665209873384	0.2619047619047619	0.5789473684210527
120	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.8634771619425889	0.9999581852393896	0.9267196279790738	0.6666666666666666	0.8888888888888888
121	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.8894502892072683	0.9998675865914	0.9414323819772764	0.5263157894736842	0.9090909090909092
122	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.8894316906691134	0.9998466792110948	0.9414126964858116	0.5172413793103449	0.8823529411764706
123	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.8894227788455576	0.9997560805631056	0.9413675438020868	0.4838709677419355	0.8823529411764706
124	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.4	0.5955565476744114	0.6693567495992752	0.6303037462142465	0.275	0.5789473684210527
125	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.8894591980956632	0.9999581852393896	0.9414775299698824	0.6666666666666666	0.8888888888888888
126	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.8894502892072683	0.9998675865914	0.9414323819772764	0.5263157894736842	0.9090909090909092
127	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.8894393224500424	0.9997560805631056	0.9413768099298832	0.5172413793103449	0.8823529411764706
128	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.8894393224500424	0.9997560805631056	0.9413768099298832	0.5	0.8823529411764706
129	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.5	0.595645190298114	0.6693567495992752	0.6303533866908186	0.28205128205128205	0.5789473684210527
130	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.8894591980956632	0.9999581852393896	0.9414775299698824	0.6666666666666666	0.8888888888888888
131	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.8894502892072683	0.9998675865914	0.9414323819772764	0.5263157894736842	0.9090909090909092
132	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.8894262965994494	0.9996236671545056	0.9413108105447604	0.5	0.8823529411764706
133	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.8894166966400834	0.9995260993797476	0.9412621741527316	0.46875	0.8823529411764706
134	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.6	0.5956794909167592	0.6693288730922016	0.6303602311622764	0.2564102564102564	0.5263157894736842
135	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.8894557717700591	0.9999233396055476	0.9414601658131044	0.6666666666666666	0.8888888888888888
136	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.8894276678861537	0.9996376054080424	0.9413177582359891	0.5263157894736842	0.9090909090909092
137	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.8894166966400834	0.9995260993797476	0.9412621741527316	0.5172413793103449	0.8823529411764706
138	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.8894105243573445	0.999463377238832	0.9412309055408798	0.46875	0.8823529411764706
139	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.7	0.595723829077218	0.6693288730922016	0.6303850559057987	0.2702702702702703	0.5263157894736842
140	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.8894530305566405	0.9998954630984738	0.9414462740775008	0.6666666666666666	0.8888888888888888
141	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.8894160108649142	0.9995191302529792	0.9412586999537316	0.5263157894736842	0.9090909090909092
142	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.8894105243573445	0.999463377238832	0.9412309055408798	0.5	0.8823529411764706
143	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.8808865376137229	0.9190466234580807	0.8995620676953301	0.4516129032258064	0.8235294117647058
144	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.8	0.6598862889890593	0.6090738030524775	0.633462713504463	0.2647058823529412	0.4736842105263158
145	mock-22	2	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.8894400079361143	0.9997630496898738	0.9413802833537854	0.6666666666666666	0.8888888888888888
146	mock-22	3	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.8894105243573445	0.999463377238832	0.9412309055408798	0.5263157894736842	0.9090909090909092
147	mock-22	4	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.8894105243573445	0.999463377238832	0.9412309055408798	0.5357142857142857	0.8823529411764706
148	mock-22	5	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.8808841506182241	0.9190257160777756	0.8995508078296549	0.4482758620689655	0.7647058823529411
149	mock-22	6	mock.1	gg_13_8_otus_amplicon	naive-bayes	False:0.9	0.6599506113171071	0.6090319882918671	0.6334697309620201	0.21875	0.3684210526315789
150	mock-24	2	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.0	0.0	0.0	0.0	0.2222222222222222	0.5
151	mock-24	3	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.0	0.0	0.0	0.0	0.1111111111111111	0.2
152	mock-24	4	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.0	0.0	0.0	0.0	0.09090909090909093	0.14285714285714285
153	mock-24	5	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.0	0.0	0.0	0.0	0.09090909090909093	0.125
154	mock-24	6	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.0	0.0	0.0	0.0	0.0	0.0
155	mock-24	2	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.1	0.0	0.0	0.0	0.25	0.25
156	mock-24	3	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.1	0.0	0.0	0.0	0.0	0.0
157	mock-24	4	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.1	0.0	0.0	0.0	0.0	0.0
158	mock-24	5	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.1	0.0	0.0	0.0	0.0	0.0
159	mock-24	6	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.1	0.0	0.0	0.0	0.0	0.0
160	mock-24	2	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.2	0.0	0.0	0.0	0.25	0.25
161	mock-24	3	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.2	0.0	0.0	0.0	0.0	0.0
162	mock-24	4	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.2	0.0	0.0	0.0	0.0	0.0
163	mock-24	5	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.2	0.0	0.0	0.0	0.0	0.0
164	mock-24	6	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.2	0.0	0.0	0.0	0.0	0.0
165	mock-24	2	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.3	0.0	0.0	0.0	0.25	0.25
166	mock-24	3	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.3	0.0	0.0	0.0	0.0	0.0
167	mock-24	4	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.3	0.0	0.0	0.0	0.0	0.0
168	mock-24	5	Mock.1	unite_20.11.2016_clean_read	naive-bayes	False:0.3	0.0	0.0	0.0	0.0	0.0
