# Constructed from biom file
#OTU ID	expected_expected_Koji.8	expected_expected_Koji.9	expected_expected_Koji.10	expected_expected_Moto.B	expected_expected_Moto.C	expected_expected_Moto.D	expected_expected_Moto.F	expected_expected_Moto.I	expected_expected_Moto.J	expected_expected_Moto.M	expected_expected_Moto.N	expected_expected_Moromi.A	expected_expected_Moromi.B	expected_expected_Moromi.C	expected_expected_Moromi.D	expected_expected_Moromi.E	expected_expected_Moromi.F	expected_expected_Moromi.G	expected_expected_Moromi.H	expected_expected_Moromi.I	expected_expected_Moromi.J	expected_expected_Moromi.K	expected_expected_Moromi.L	expected_expected_Moromi.M	expected_expected_Moromi.N	expected_expected_Moromi.O	expected_expected_Moromi.P	expected_expected_Moromi.Q	expected_expected_Moromi.R	expected_expected_Moromi.S	expected_expected_Moromi.T	blast_0.001_Koji.10	blast_0.001_Koji.8	blast_0.001_Koji.9	blast_0.001_Moromi.A	blast_0.001_Moromi.B	blast_0.001_Moromi.C	blast_0.001_Moromi.D	blast_0.001_Moromi.E	blast_0.001_Moromi.F	blast_0.001_Moromi.G	blast_0.001_Moromi.H	blast_0.001_Moromi.I	blast_0.001_Moromi.J	blast_0.001_Moromi.K	blast_0.001_Moromi.L	blast_0.001_Moromi.M	blast_0.001_Moromi.N	blast_0.001_Moromi.O	blast_0.001_Moromi.P	blast_0.001_Moromi.Q	blast_0.001_Moromi.R	blast_0.001_Moromi.S	blast_0.001_Moromi.T	blast_0.001_Moto.B	blast_0.001_Moto.C	blast_0.001_Moto.D	blast_0.001_Moto.F	blast_0.001_Moto.I	blast_0.001_Moto.J	blast_0.001_Moto.M	blast_0.001_Moto.N	taxonomy
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__pettenkoferi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00735991756408	0.0259771815092	0.00336587449286	0.000152138335485	0.000214374209184	0.000254295127062	0.00034692540333	0.000395467969492	0.000355758626373	0.000480493013461	0.000312804272566	0.00104304382958	0.000142266460342	0.000204706472301	0.000580445491713	0.000399153443759	0.000220945694397	6.7781527832e-05	0.000195034119816	5.53010578331e-05	0.000478123171645	0.000476677376474	0.000133535236685	0.117185345052	0.00528215940062	0.00465630201269	0.00487001012423	0.0119887988894	0.0034154085238	0.00705597726755	0.00559205913831	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__zeae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016006604977	0.00168745115049	0.00175638740118	0.172671817014	0.035557102601	0.250844123792	0.280908305587	0.10554493627	0.0655625785755	0.0432040266473	0.0249014573384	0.221091040737	0.0462056682837	0.367799139544	0.310326885326	0.158665786035	0.0542126980953	0.0227924672409	0.263907209558	0.308102509028	0.245060690837	0.0804624850589	0.412583542676	0.0081511492254	0.204396280857	0.171303633601	0.296091653483	0.172594347827	0.108422897671	0.185753394571	0.341822486282	None
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Klebsiella;s__oxytoca	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000173910007779	0.000210839976339	0.00037105091168	0.0640653857133	0.106770168926	0.0156652266294	0.00927510147788	0.00784076582444	0.0688414999911	0.0120163181511	0.0335141329593	0.0615453254697	0.0135468124989	0.0028551658819	0.0289142460451	0.00251054294742	0.00341065502456	0.00345944368875	0.00158335392719	0.00314611989133	0.00540226205955	0.00242936028913	0.00202883026005	0.0310749421842	0.158978571078	0.0683157872551	0.0648476628704	0.0409524089781	0.0565244328597	0.0253518535972	0.0512632009049	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__garvieae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000204528973215	0.000211426911498	0.000311850087306	0.018896140382	0.0188244040604	0.00682491276414	0.00394194347599	0.00603785415378	0.0096589146324	0.00801322408858	0.00395367275556	0.0110734227394	0.00194371044068	0.00117936759897	0.00364341231289	0.00130684957239	0.00141649698747	0.00199170872399	0.0013300852745	0.00148466658969	0.00210492777486	0.00139958352069	0.000688056416338	0.000418853069747	0.110675033812	0.0797151698209	0.0451017484486	0.0613214347277	0.0335795580721	0.013683107692	0.0399139669983	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__epidermidis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00861343010476	0.0225128380791	0.0226042494918	0.000747816566943	7.53212451244e-05	0.000431322543159	0.000478808812786	6.96342370435e-05	0.000377033969143	0.000816129593302	8.95331020185e-06	0.0005763994712	0.00015597714568	0.00041248986729	0.000363854139074	0.000465027115931	0.000544900851093	0.000189910514875	0.000114039875233	6.30062010774e-05	0.000313766816169	8.94270536952e-05	0.000258566981658	0.0434241917307	0.0099881519258	0.000196261509542	0.00473633560078	0.0119402794232	0.00618317842285	0.000318069064331	0.00838979517866	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__mesenteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000113059464252	2.85817814967e-05	0.0151833354979	0.0108266561229	0.00539728233305	0.0025303611986	0.00875108690945	0.00633558634098	0.00134559793733	0.00498960124558	0.00998459149234	0.00340546989451	0.000674790724592	0.00187791833843	0.00144210338148	0.00177310257452	0.000501952988285	0.000319941684166	0.00123046638368	0.00161517529785	0.000106382890976	0.000983729261586	0.000188634984974	0.000345510099719	0.000153767826878	0.000133399750321	0.000172283882041	0.000298985399062	9.45957481038e-05	0.000131079442357	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__sciuri	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00959703624891	0.0323053750431	0.00515452326653	0.000406481756816	0.000368318777294	5.38773255457e-05	0.000305717546022	0.000546869954935	0.000274194510837	0.000563126411492	0.000216277302723	6.11380978253e-05	0.000177685987723	2.3563150849e-05	0.00065064359748	0.000205392428787	3.15696103149e-05	1.65773034912e-05	0.000247378540357	0.000512589423463	4.19647967477e-06	0.000218298098293	0.00030489271806	0.117943167518	0.00584248384266	0.00683137792465	0.00304056967755	0.0127342942957	0.00502961877409	0.00185080521564	0.0076244925275	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__neizhouensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.143266108024	0.101398720675	0.201485898246	0.00174182753284	0.0518574196616	0.0834490504351	0.0172419769401	0.0888883711055	0.0828468128693	0.060307112295	0.0889367173434	0.103014759938	0.0660658385188	0.014048449053	0.0378033211725	0.0341030176281	0.0364002324333	0.0134995207589	0.00820929986489	0.0307598987814	0.00780161090675	0.0506929254791	0.0219366479426	0.0259254677523	0.00747770696689	0.00466851988895	0.00336229154189	0.00110206706608	0.00322579957936	0.000707470484921	0.000776587476001	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__thermoamylovorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.143412015646	0.109916984697	0.163165208735	0.0170865046031	0.0187759449376	0.0463124190384	0.0237659012615	0.102759974614	0.0366660510142	0.0815017310818	0.0470397627871	0.0399397689963	0.0457507940874	0.0434781097735	0.08080208411	0.0156304434597	0.0577707494831	0.00228825412911	0.0213343713569	0.0105689977315	0.0113641974431	0.0366075594842	0.00498457771575	0.110915431118	0.00580570899468	0.00475209956032	0.000114036035071	0.00228731017739	0.00846606710418	0.000245212778252	0.00124898871927	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__pseudomycoides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.249553934598	0.128230287511	0.272478219313	0.0468026051019	0.0450526241611	0.0556084922295	0.0107586134281	0.0555490469856	0.0821243222755	0.0875900392866	0.00549121973295	0.0434245958639	0.0633658333055	0.0610404710457	0.0422120972784	0.052139405988	0.0376905620887	0.0376403786058	0.0310860643342	0.0219072553644	0.0020731797471	0.0270245107423	0.0431030893987	0.0767784037984	0.00286746108492	0.00464640353544	0.00256643397687	0.00141742232326	0.000957252460934	0.00244876992119	0.00275164732932	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__endophyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26016140365	0.344294336092	0.220495488048	0.0181360689372	0.0272171096079	0.0443837959209	0.01358706596	0.0165882319116	0.085209158938	0.042078107693	0.000864641568343	0.0289652411973	0.0219357863491	0.0315544689933	0.0026485665061	0.0256691263963	0.0440922507858	0.0527753891388	0.0445778067765	0.0130696485787	0.0316686452672	0.00953682665401	0.0288436338312	0.0751637503086	0.00943529505545	0.00383332437663	0.00329275582769	0.00214354644788	0.0052461655209	0.00268374497599	0.00358823101452	None
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__guillouiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103500619096	0.000460735355721	0.000270384108784	0.00230094330927	0.000749749112067	0.0010412347963	0.000440208744729	0.00141542182373	0.00110138485212	0.000727394943636	0.000499094386099	0.00219094895477	0.000472919401546	0.000620023809507	0.000570934476581	0.000302669832026	0.000275267881929	0.000350838932709	0.000629640546741	0.000457778478385	0.000537823201143	0.000620162343633	0.000709224210425	0.0402594393269	0.00633312003648	0.00236832803439	0.00269111369869	0.00222360749132	1.66906422475e-05	0.000441778452521	0.0011039710102	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__fallax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000152930633804	3.84898801991e-05	0.0268652416386	0.013182002537	0.00879083626049	0.00637843731041	0.00273163119012	0.000514231717048	0.00409567770138	0.00764026551576	0.00835554558152	0.000787567982557	0.00114017300092	0.0042759070184	0.000505137610368	0.000324253903757	0.00059439430857	0.000407129040128	0.000586904112218	0.000934228375605	0.00142863334505	0.000144193865643	0.0001890426948	0.000384943520306	0.000242871239649	4.98930311793e-05	0.000223424623835	6.55378572317e-05	0.000144637710376	0.000272359051422	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__equorum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00313879765998	0.0246744291906	0.00677756282505	0.000387717631169	0.000594845784077	0.000588119157258	0.000373628034444	0.00017549466602	0.000336391758881	0.000265873242969	0.00017292629689	0.000286988535713	0.000610388685504	0.000435881218167	0.000529359601925	0.000378153619428	0.00046547303615	0.000187482559189	0.000184886123746	0.000214842113023	0.000431075883775	0.000190095604138	0.000269413657232	0.0476776102075	0.00821938631991	0.00387720982157	0.00684581909153	0.00814947638375	0.00480277201731	0.00364677552953	0.00509835740812	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__subtilis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.122354010875	0.182439019243	0.0746772236681	0.00636402241109	0.0247852016867	0.0560648400003	0.00584541737969	0.0348672003965	0.0765792276168	0.08293678756	0.0773069144053	0.0773955271836	0.048621114386	0.0172968932354	0.0140197833323	0.0982963040564	0.0134721747701	0.0330579823803	0.0272780404038	0.018748104039	0.0295057236007	0.0512883940207	0.00927414443037	0.11979552594	0.00440045557017	0.000441951184583	0.00528804653609	0.00106835516872	0.00128552606074	0.00136297526095	0.00169129982356	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__manihotivorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000628481961508	0.000654792938114	0.00190427771331	0.270486643856	0.171198446474	0.212342875445	0.0698821916833	0.142975662866	0.135449701195	0.00627217678805	0.0275618538405	0.162659744474	0.427893379216	0.394364878428	0.157229228837	0.122215880011	0.140725564602	0.297534439083	0.186792704391	0.115811538646	0.110413076537	0.541207630789	0.0554514286263	0.00543318168332	0.086153744765	0.20292092156	0.0617203173609	0.0793849669223	0.422870481913	0.121695765558	0.287045722247	None
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Averyella;s__dalhousiensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000122062548549	0.000335183001168	0.000430398828622	0.164803302058	0.0950693847465	0.0113317508847	0.0135517918291	0.0256870791942	0.075456513186	0.0322551560707	0.0415579446499	0.00785670264229	0.0117638943564	0.000917925503339	0.0241158225074	0.000888236576071	0.00432183246186	0.00343215724765	0.000424376300294	0.00247725848181	0.00688695957124	0.0038221562714	0.0013194578541	0.000956292428634	0.0448072635005	0.0391767599686	0.0559343301258	0.112999077822	0.00319908168446	0.0128611230606	0.0393342314856	None
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__pentosus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00128898252544	0.00337534455579	0.000275554512085	0.0932492071896	0.133488456331	0.191654916538	0.113141274216	0.256756615079	0.0976845802988	0.331123378994	0.330381575652	0.110274944456	0.0936974983919	0.0133840698177	0.250014846668	0.156755874521	0.328608203703	0.246425327654	0.0985066579539	0.315252732205	0.313476138097	0.137118584689	0.148959223836	0.00327237373739	0.131549033675	0.208814815061	0.250546125542	0.392620354278	0.119848570342	0.409431396107	0.00934008477349	None
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__venetianus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00188861007409	0.000499569722423	1.92214937139e-05	0.00321390995979	3.14108939478e-05	0.000664289374332	0.000285183513642	0.000907515875077	0.000782814062857	0.000292556255317	0.000305490809134	0.000643794999391	0.000804598775981	0.000233315167679	0.00166432193574	0.000607138220409	0.000328615554599	0.000117993944317	0.000592188644399	0.00144209763927	0.000453382001292	0.000600508251947	9.98001935158e-05	0.0296183144792	0.0121437408761	0.00179184298437	0.00367855009481	0.00123595687707	0.00335140933534	0.00150603065054	0.00471797668371	None
