#NodeID	NodeType	Abundance	Color	Size	Shape
blast_1.0	sample	4.0	blast	4.0	blast_1.0
737	otu	0.0	p__Actinobacteria	0.0	f__Nocardiaceae_Other
719	otu	9.9457649785e-06	p__Firmicutes	9.9457649785e-06	f__Carnobacteriaceae_Other
718	otu	0.0	p__Firmicutes	0.0	f___g__
717	otu	0.0	p__Bacteroidetes	0.0	f__Chitinophagaceae_g__Sediminibacterium
716	otu	1.530117689e-06	p__Proteobacteria	1.530117689e-06	Other_Other
715	otu	0.0	Other	0.0	Other_Other
714	otu	0.00152246710056	p__Proteobacteria	0.00152246710056	Other_Other
713	otu	0.0	p__Actinobacteria	0.0	f__Microbacteriaceae_Other
712	otu	0.052311781894	p__Firmicutes	0.052311781894	f__Lactobacillaceae_g__Lactobacillus
711	otu	0.473488151675	p__Proteobacteria	0.473488151675	f__Pseudomonadaceae_g__Pseudomonas
710	otu	0.00231047771039	p__Proteobacteria	0.00231047771039	Other_Other
421	otu	6.50834043827e-07	p__Proteobacteria	6.50834043827e-07	f__Chromatiaceae_Other
129	otu	9.63070619341e-06	p__Actinobacteria	9.63070619341e-06	f__Microbacteriaceae_g__Salinibacterium
420	otu	3.12400341037e-05	p__Crenarchaeota	3.12400341037e-05	f__Thermoproteaceae_g__Vulcanisaeta
423	otu	6.50834043825e-06	p__Proteobacteria	6.50834043825e-06	f__Thiotrichaceae_g__Thiothrix
422	otu	2.60333617531e-06	p__AD3	2.60333617531e-06	f___g__
425	otu	0.00122096466622	p__Firmicutes	0.00122096466622	f__Clostridiaceae_g__
619	otu	1.0710823823e-05	p__Proteobacteria	1.0710823823e-05	Other_Other
424	otu	0.0	p__Proteobacteria	0.0	f__Chromatiaceae_g__
427	otu	1.04181022981	p__Proteobacteria	1.04181022981	f__Enterobacteriaceae_g__
298	otu	0.208042973607	p__Proteobacteria	0.208042973607	f__Moraxellaceae_g__Acinetobacter
299	otu	0.000318257847431	Other	0.000318257847431	Other_Other
296	otu	0.0	p__Firmicutes	0.0	f__Aerococcaceae_Other
297	otu	0.0568444962218	p__Firmicutes	0.0568444962218	Other_Other
294	otu	6.50834043827e-07	p__[Thermi]	6.50834043827e-07	Other_Other
295	otu	1.4969183008e-05	p__Proteobacteria	1.4969183008e-05	f__Phyllobacteriaceae_g__Aminobacter
292	otu	0.072067504507	p__Firmicutes	0.072067504507	Other_Other
293	otu	0.0	p__Firmicutes	0.0	f__Clostridiaceae_g__02d06
290	otu	0.0	p__Proteobacteria	0.0	f__Syntrophaceae_g__Smithella
291	otu	0.0167316415987	p__[Thermi]	0.0167316415987	f__Deinococcaceae_g__Deinococcus
591	otu	0.0	p__Armatimonadetes	0.0	f___g__
590	otu	3.8252942225e-06	p__Proteobacteria	3.8252942225e-06	Other_Other
593	otu	19.8594627522	p__Firmicutes	19.8594627522	f__Staphylococcaceae_g__Staphylococcus
592	otu	3.060235378e-06	p__Bacteroidetes	3.060235378e-06	Other_Other
595	otu	9.180706134e-06	p__Proteobacteria	9.180706134e-06	f___g__
594	otu	4.66685895146e-05	p__Firmicutes	4.66685895146e-05	f__Carnobacteriaceae_g__
597	otu	2.2951765335e-05	p__Proteobacteria	2.2951765335e-05	f__Chromatiaceae_g__Chromatium
596	otu	3.060235378e-06	p__Proteobacteria	3.060235378e-06	f__125ds10_g__
195	otu	7.00414995885e-05	p__Firmicutes	7.00414995885e-05	f__Lachnospiraceae_Other
194	otu	5.25311246914e-06	p__Proteobacteria	5.25311246914e-06	f__HTCC2188_g__HTCC
197	otu	0.000161095449053	Other	0.000161095449053	Other_Other
196	otu	0.0	p__Proteobacteria	0.0	f__[Chromatiaceae]_g__Alishewanella
191	otu	0.640723772011	p__Firmicutes	0.640723772011	f__Listeriaceae_g__
190	otu	0.0	p__Firmicutes	0.0	f__Veillonellaceae_Other
193	otu	7.3543574568e-05	p__Proteobacteria	7.3543574568e-05	f__Oxalobacteraceae_g__Ralstonia
192	otu	1.75103748971e-06	p__Proteobacteria	1.75103748971e-06	f__Rhodobacteraceae_g__Phaeobacter
270	otu	1.43183489642e-05	p__Proteobacteria	1.43183489642e-05	f___g__
271	otu	1.04133447012e-05	p__Firmicutes	1.04133447012e-05	f__Paenibacillaceae_g__Paenibacillus
272	otu	0.0	p__Proteobacteria	0.0	f__Bradyrhizobiaceae_g__
273	otu	0.0	p__Bacteroidetes	0.0	f__[Weeksellaceae]_g__
274	otu	0.029640284024	p__Firmicutes	0.029640284024	f__Planococcaceae_Other
275	otu	0.0	p__Firmicutes	0.0	f__Enterococcaceae_g__Tetragenococcus
276	otu	1.17150127889e-05	p__Proteobacteria	1.17150127889e-05	f__Rhodospirillaceae_g__
277	otu	4.55583830679e-06	p__Proteobacteria	4.55583830679e-06	f__Rhodobacteraceae_g__Octadecabacter
278	otu	0.0	p__Firmicutes	0.0	f__Lachnospiraceae_g__
279	otu	0.102089828115	p__Proteobacteria	0.102089828115	f__Pseudomonadaceae_Other
569	otu	3.21324714691e-05	p__Firmicutes	3.21324714691e-05	f__Planococcaceae_g__Planomicrobium
497	otu	2.60333617531e-06	p__Proteobacteria	2.60333617531e-06	f__Enterobacteriaceae_g__Photorhabdus
524	otu	1.14758826675e-05	p__Firmicutes	1.14758826675e-05	f__Enterococcaceae_g__Tetragenococcus
525	otu	1.3771059201e-05	p__Proteobacteria	1.3771059201e-05	f__Rhodospirillaceae_g__
526	otu	5.35541191151e-06	p__Proteobacteria	5.35541191151e-06	f__Rhodobacteraceae_g__Octadecabacter
527	otu	0.0	p__Firmicutes	0.0	f__Lachnospiraceae_g__
520	otu	9.180706134e-06	p__Firmicutes	9.180706134e-06	f__Paenibacillaceae_g__Paenibacillus
521	otu	0.0	p__Proteobacteria	0.0	f__Bradyrhizobiaceae_g__
522	otu	0.0	p__Bacteroidetes	0.0	f__[Weeksellaceae]_g__
523	otu	0.0316527795735	p__Firmicutes	0.0316527795735	f__Planococcaceae_Other
528	otu	0.110196780785	p__Proteobacteria	0.110196780785	f__Pseudomonadaceae_Other
529	otu	2.2951765335e-05	p__Actinobacteria	2.2951765335e-05	f__Corynebacteriaceae_g__Corynebacterium
449	otu	2.01758553586e-05	p__Firmicutes	2.01758553586e-05	f__Aerococcaceae_g__Alkalibacterium
448	otu	6.50834043827e-07	p__Proteobacteria	6.50834043827e-07	f__OM60_g__
443	otu	1.23658468327e-05	p__Proteobacteria	1.23658468327e-05	f__HTCC2188_g__HTCC
442	otu	1.8874187271e-05	p__Proteobacteria	1.8874187271e-05	f__Oxalobacteraceae_g__Ralstonia
441	otu	4.23042128488e-05	p__Proteobacteria	4.23042128488e-05	f__Rhodobacteraceae_g__Phaeobacter
440	otu	0.0355986361889	p__Firmicutes	0.0355986361889	f__Listeriaceae_g__
447	otu	0.214316331	p__Proteobacteria	0.214316331	f__Enterobacteriaceae_g__Escherichia
446	otu	0.000842179252715	Other	0.000842179252715	Other_Other
445	otu	3.90500426296e-06	p__Proteobacteria	3.90500426296e-06	f__[Chromatiaceae]_g__Alishewanella
444	otu	0.0	p__Firmicutes	0.0	f__Lachnospiraceae_Other
47	otu	0.0	p__Firmicutes	0.0	f__Aerococcaceae_Other
108	otu	0.0	p__Firmicutes	0.0	f__Aerococcaceae_g__Marinilactibacillus
109	otu	1.57593374074e-05	p__Proteobacteria	1.57593374074e-05	f__Rhodobacteraceae_g__Nautella
102	otu	0.000252149398519	p__Proteobacteria	0.000252149398519	f__Rhodobacteraceae_Other
103	otu	0.000213626573745	p__Proteobacteria	0.000213626573745	f__Helicobacteraceae_g__Flexispira
100	otu	0.0	p__Proteobacteria	0.0	f__Alteromonadaceae_g__Microbulbifer
101	otu	0.0	p__Proteobacteria	0.0	f___g__
106	otu	0.0	p__Proteobacteria	0.0	Other_Other
107	otu	1.75103748971e-06	p__Firmicutes	1.75103748971e-06	Other_Other
104	otu	1.66348561523e-05	p__[Thermi]	1.66348561523e-05	Other_Other
105	otu	0.0155702253585	p__Firmicutes	0.0155702253585	Other_Other
902	otu	0.0	p__Firmicutes	0.0	f__Staphylococcaceae_g__Jeotgalicoccus
903	otu	0.000224823469204	p__Actinobacteria	0.000224823469204	f__Actinomycetaceae_Other
39	otu	0.0	p__OP9	0.0	f___g__
38	otu	1.75103748971e-06	p__Firmicutes	1.75103748971e-06	f__Gracilibacteraceae_g__
906	otu	5.9164070843e-06	p__Proteobacteria	5.9164070843e-06	Other_Other
907	otu	0.000224823469204	p__Firmicutes	0.000224823469204	f__Enterococcaceae_g__Vagococcus
904	otu	0.00231035696642	p__Firmicutes	0.00231035696642	f__Bacillaceae_Other
905	otu	1.03537123976e-05	p__Proteobacteria	1.03537123976e-05	f__Thiotrichaceae_g__B46
33	otu	0.000105062249383	p__Proteobacteria	0.000105062249383	f__Xanthomonadaceae_g__Stenotrophomonas
32	otu	0.355398297065	p__Euryarchaeota	0.355398297065	f__Methanobacteriaceae_g__Methanobrevibacter
31	otu	0.0	p__Actinobacteria	0.0	f__Corynebacteriaceae_g__Corynebacterium
30	otu	0.167531387347	p__Proteobacteria	0.167531387347	f__Pseudomonadaceae_Other
37	otu	2.18879686214e-05	p__Firmicutes	2.18879686214e-05	f__Staphylococcaceae_g__Macrococcus
36	otu	0.000508676390762	p__Firmicutes	0.000508676390762	f__Bacillaceae_g__Anaerobacillus
35	otu	0.319340018719	p__Proteobacteria	0.319340018719	f__Rhodobacteraceae_g__Rhodobacter
34	otu	0.000223257279938	p__Proteobacteria	0.000223257279938	Other_Other
641	otu	3.060235378e-06	p__Firmicutes	3.060235378e-06	f__Planococcaceae_g__Solibacillus
640	otu	0.000136180474321	p__Firmicutes	0.000136180474321	f___g__
643	otu	0.0	p__Proteobacteria	0.0	f__Bradyrhizobiaceae_g__Bradyrhizobium
642	otu	1.530117689e-06	p__Proteobacteria	1.530117689e-06	f__Geobacteraceae_g__
645	otu	0.000877522494643	p__Proteobacteria	0.000877522494643	f__Enterobacteriaceae_g__Erwinia
644	otu	0.0	p__Crenarchaeota	0.0	f__Korarchaeotaceae_g__Candidatus Korarchaeum
438	otu	5.85750639444e-06	p__Actinobacteria	5.85750639444e-06	Other_Other
439	otu	2.6033361753e-06	p__Firmicutes	2.6033361753e-06	f__Veillonellaceae_Other
436	otu	0.00231888819183	p__Actinobacteria	0.00231888819183	f__Propionibacteriaceae_g__Propionibacterium
437	otu	0.0	p__Firmicutes	0.0	f__Listeriaceae_Other
434	otu	1.8874187271e-05	p__Actinobacteria	1.8874187271e-05	f__Nocardioidaceae_g__Aeromicrobium
435	otu	0.000161406842869	p__Proteobacteria	0.000161406842869	f__Rhodobacteraceae_g__
432	otu	0.000890991805998	p__Proteobacteria	0.000890991805998	f__Hyphomicrobiaceae_g__Devosia
433	otu	1.30166808765e-06	p__Firmicutes	1.30166808765e-06	f__Peptococcaceae_Other
430	otu	1.04133447012e-05	p__Proteobacteria	1.04133447012e-05	f__Pelobacteraceae_g__Pelobacter
431	otu	1.04133447012e-05	p__Proteobacteria	1.04133447012e-05	f__Pseudomonadaceae_g__Azomonas
826	otu	0.0361144883935	p__Firmicutes	0.0361144883935	f___g__
339	otu	1.30166808765e-06	p__Proteobacteria	1.30166808765e-06	f__Alteromonadaceae_Other
338	otu	9.11167661355e-06	p__Proteobacteria	9.11167661355e-06	f__Nitrospinaceae_g__
335	otu	0.027044425794	p__Firmicutes	0.027044425794	f__Bacillaceae_g__Bacillus
334	otu	0.0	p__OctSpA1-106	0.0	f___g__
337	otu	0.0	p__Bacteroidetes	0.0	Other_Other
336	otu	0.0443809907763	p__Proteobacteria	0.0443809907763	f__Helicobacteraceae_g__Helicobacter
331	otu	0.00237313252337	p__Firmicutes	0.00237313252337	f__Enterococcaceae_g__Enterococcus
330	otu	1.43183489642e-05	p__Firmicutes	1.43183489642e-05	f__Planococcaceae_g__Ureibacillus
333	otu	0.000775143346198	p__Proteobacteria	0.000775143346198	f__Enterobacteriaceae_g__Serratia
332	otu	3.18908681475e-05	p__Firmicutes	3.18908681475e-05	f__Peptococcaceae_g__Desulfosporosinus
559	otu	4.74336483591e-05	p__Proteobacteria	4.74336483591e-05	f___g__
745	otu	2.1421647646e-05	p__Proteobacteria	2.1421647646e-05	Other_Other
854	otu	2.95820354215e-06	p__Firmicutes	2.95820354215e-06	Other_Other
818	otu	2.14469756806e-05	p__Firmicutes	2.14469756806e-05	f__Planococcaceae_g__Planomicrobium
856	otu	6.65595796984e-06	p__Proteobacteria	6.65595796984e-06	f__Rhodobacteraceae_g__Nautella
857	otu	6.21222743852e-05	p__Firmicutes	6.21222743852e-05	f__Clostridiaceae_g__Caloramator
850	otu	0.000209292900608	p__Proteobacteria	0.000209292900608	f__Helicobacteraceae_g__Flexispira
851	otu	1.99678739095e-05	p__[Thermi]	1.99678739095e-05	Other_Other
852	otu	0.0171627574007	p__Firmicutes	0.0171627574007	Other_Other
819	otu	0.000123504997885	p__Firmicutes	0.000123504997885	f__Lactobacillaceae_Other
858	otu	7.39550885538e-07	p__Proteobacteria	7.39550885538e-07	f__Bartonellaceae_g__
859	otu	7.39550885538e-07	p__Proteobacteria	7.39550885538e-07	f__Oceanospirillaceae_g__
748	otu	0.0	p__Proteobacteria	0.0	f__Methylocystaceae_g__Pleomorphomonas
6	otu	0.0	p__Proteobacteria	0.0	Other_Other
43	otu	0.110074594197	p__Firmicutes	0.110074594197	Other_Other
99	otu	3.23941935597e-05	p__Proteobacteria	3.23941935597e-05	f__Chromatiaceae_g__Chromatium
98	otu	0.0	p__Proteobacteria	0.0	f__125ds10_g__
91	otu	0.0	p__Proteobacteria	0.0	f__Piscirickettsiaceae_g__
90	otu	2.62655623457e-06	p__Proteobacteria	2.62655623457e-06	f__Alteromonadaceae_Other
93	otu	4.37759372428e-06	p__Armatimonadetes	4.37759372428e-06	f___g__
92	otu	0.0	p__Proteobacteria	0.0	Other_Other
95	otu	14.0629857486	p__Firmicutes	14.0629857486	f__Staphylococcaceae_g__Staphylococcus
94	otu	4.81535309671e-05	p__Bacteroidetes	4.81535309671e-05	Other_Other
97	otu	0.0	p__Proteobacteria	0.0	f___g__
96	otu	0.000129576774239	p__Firmicutes	0.000129576774239	f__Carnobacteriaceae_g__
814	otu	1.18328141686e-05	p__Proteobacteria	1.18328141686e-05	Other_Other
815	otu	0.0	p__Actinobacteria	0.0	f__Nocardiaceae_g__Rhodococcus
153	otu	0.0	p__Proteobacteria	0.0	f__Phyllobacteriaceae_g__Chelativorans
740	otu	1.530117689e-06	p__Proteobacteria	1.530117689e-06	f___g__
741	otu	7.65058844501e-07	p__Proteobacteria	7.65058844501e-07	f__Oxalobacteraceae_Other
742	otu	4.590353067e-06	p__	4.590353067e-06	f___g__
743	otu	0.000128529885877	p__Firmicutes	0.000128529885877	f__Clostridiaceae_g__Sarcina
744	otu	3.060235378e-06	p__Firmicutes	3.060235378e-06	f__Aerococcaceae_g__Facklamia
558	otu	0.000423077541009	p__Firmicutes	0.000423077541009	f__Enterococcaceae_Other
746	otu	3.060235378e-06	p__Proteobacteria	3.060235378e-06	f__Enterobacteriaceae_g__Photorhabdus
747	otu	0.000266240477886	p__Firmicutes	0.000266240477886	Other_Other
555	otu	4.59035306701e-06	p__Proteobacteria	4.59035306701e-06	f__Helicobacteraceae_g__
554	otu	0.000533049	p__Ascomycota	0.000533049	f__Incertae_sedis_g__Candida
557	otu	0.0	p__Firmicutes	0.0	f__Lachnospiraceae_g__Coprococcus
556	otu	0.0	p__Firmicutes	0.0	f__Gracilibacteraceae_g__Gracilibacter
551	otu	1.45361180455e-05	p__[Thermi]	1.45361180455e-05	f__Deinococcaceae_Other
550	otu	4.59035306701e-06	p__Proteobacteria	4.59035306701e-06	f__[Chromatiaceae]_g__
553	otu	1.0710823823e-05	p__Firmicutes	1.0710823823e-05	f__Planococcaceae_g__Kurthia
552	otu	3.060235378e-06	p__Proteobacteria	3.060235378e-06	f__Shewanellaceae_g__Shewanella
238	otu	0.0	p__Proteobacteria	0.0	f__Halomonadaceae_g__Candidatus Portiera
239	otu	8.75518744856e-07	p__Actinobacteria	8.75518744856e-07	f__Nocardiaceae_Other
234	otu	0.0	p__Euryarchaeota	0.0	Other_Other
235	otu	0.0	p__Proteobacteria	0.0	f__Rhizobiaceae_g__Sinorhizobium
236	otu	3.93983435186e-05	p__Proteobacteria	3.93983435186e-05	f__Moraxellaceae_g__Alkanindiges
237	otu	0.0	p__Proteobacteria	0.0	f__Enterobacteriaceae_g__Candidatus Blochmannia
230	otu	0.0229788649775	p__Firmicutes	0.0229788649775	f__Staphylococcaceae_Other
231	otu	0.0	p__Proteobacteria	0.0	f___g__
232	otu	8.40497995062e-05	Other	8.40497995062e-05	Other_Other
233	otu	0.000560331996708	p__Firmicutes	0.000560331996708	f__Streptococcaceae_g__
1	otu	7.00414995885e-06	p__Proteobacteria	7.00414995885e-06	f__Methylocystaceae_g__Pleomorphomonas
155	otu	1.40082999177e-05	p__Firmicutes	1.40082999177e-05	f__Staphylococcaceae_g__Jeotgalicoccus
146	otu	1.75103748971e-06	p__Crenarchaeota	1.75103748971e-06	f__Korarchaeotaceae_g__Candidatus Korarchaeum
147	otu	8.31742807613e-05	p__Proteobacteria	8.31742807613e-05	f__Enterobacteriaceae_g__Erwinia
618	otu	2.2951765335e-06	p__Proteobacteria	2.2951765335e-06	Other_Other
145	otu	0.0	p__Proteobacteria	0.0	f__Bradyrhizobiaceae_g__Bradyrhizobium
142	otu	9.10539494648e-05	p__Firmicutes	9.10539494648e-05	f___g__
143	otu	8.75518744856e-07	p__Firmicutes	8.75518744856e-07	f__Planococcaceae_g__Solibacillus
140	otu	0.0	p__WS3	0.0	f___g__
141	otu	0.00108739428111	p__Proteobacteria	0.00108739428111	f__Neisseriaceae_Other
612	otu	8.41564728952e-06	p__Firmicutes	8.41564728952e-06	f__Staphylococcaceae_g__
613	otu	0.000192794828814	p__Proteobacteria	0.000192794828814	f__Xanthomonadaceae_g__
610	otu	1.530117689e-05	p__Proteobacteria	1.530117689e-05	f__Oceanospirillaceae_g__
611	otu	1.530117689e-06	p__Proteobacteria	1.530117689e-06	f__Thiotrichaceae_Other
616	otu	0.000755878138367	p__Firmicutes	0.000755878138367	f__Enterococcaceae_g__
617	otu	0.00010710823823	p__Proteobacteria	0.00010710823823	f__Alcanivoracaceae_g__Alcanivorax
148	otu	9.63070619342e-06	p__Proteobacteria	9.63070619342e-06	f__Enterobacteriaceae_g__Salmonella
149	otu	3.50207497942e-06	p__Actinobacteria	3.50207497942e-06	f__Yaniellaceae_g__
46	otu	0.0	p__Proteobacteria	0.0	f__Phyllobacteriaceae_g__Aminobacter
154	otu	0.0	p__Bacteroidetes	0.0	f__Chitinophagaceae_Other
948	otu	0.0	p__Proteobacteria	0.0	f__Pasteurellaceae_g__Haemophilus
949	otu	0.0	p__Firmicutes	0.0	f__Carnobacteriaceae_g__Desemzia
946	otu	1.47910177108e-06	p__Proteobacteria	1.47910177108e-06	f__OM60_g__
947	otu	9.61416151202e-06	p__Firmicutes	9.61416151202e-06	f__Aerococcaceae_g__Alkalibacterium
944	otu	0.000386785113136	Other	0.000386785113136	Other_Other
945	otu	0.047593664	p__Proteobacteria	0.047593664	f__Enterobacteriaceae_g__Escherichia
942	otu	5.17685619877e-05	p__Firmicutes	5.17685619877e-05	f__Lachnospiraceae_Other
943	otu	4.43730531323e-06	p__Proteobacteria	4.43730531323e-06	f__[Chromatiaceae]_g__Alishewanella
940	otu	2.07074247951e-05	p__Proteobacteria	2.07074247951e-05	f__Oxalobacteraceae_g__Ralstonia
941	otu	0.0	p__Proteobacteria	0.0	f__HTCC2188_g__HTCC
689	otu	0.0910987351926	p__Firmicutes	0.0910987351926	f__Listeriaceae_g__
688	otu	3.060235378e-06	p__Firmicutes	3.060235378e-06	f__Veillonellaceae_Other
685	otu	0.0476854710613	p__Actinobacteria	0.0476854710613	f__Propionibacteriaceae_g__Propionibacterium
684	otu	0.00026012000713	p__Proteobacteria	0.00026012000713	f__Rhodobacteraceae_g__
687	otu	9.18070613402e-06	p__Actinobacteria	9.18070613402e-06	Other_Other
686	otu	0.0	p__Firmicutes	0.0	f__Listeriaceae_Other
681	otu	0.000803311786725	p__Proteobacteria	0.000803311786725	f__Hyphomicrobiaceae_g__Devosia
680	otu	4.51384718256e-05	p__Proteobacteria	4.51384718256e-05	f__Pseudomonadaceae_g__Azomonas
683	otu	2.21867064905e-05	p__Actinobacteria	2.21867064905e-05	f__Nocardioidaceae_g__Aeromicrobium
682	otu	0.0	p__Firmicutes	0.0	f__Peptococcaceae_Other
458	otu	0.000146437659861	p__Firmicutes	0.000146437659861	f__Staphylococcaceae_g__Salinicoccus
459	otu	0.0	p__Proteobacteria	0.0	f__Methylobacteriaceae_g__Methylobacterium
133	otu	0.0	p__Proteobacteria	0.0	f__[Chromatiaceae]_Other
132	otu	8.75518744856e-07	p__Proteobacteria	8.75518744856e-07	f__Oxalobacteraceae_g__
131	otu	2.53900436009e-05	p__Proteobacteria	2.53900436009e-05	f__Enterobacteriaceae_g__Enterobacter
130	otu	0.00129489222364	p__Firmicutes	0.00129489222364	f__Clostridiaceae_Other
137	otu	0.0	p__Proteobacteria	0.0	f__Phyllobacteriaceae_Other
136	otu	0.54959715449	p__Proteobacteria	0.54959715449	f__Neisseriaceae_g__Neisseria
135	otu	1.63157697862	p__Firmicutes	1.63157697862	f__Streptococcaceae_g__Streptococcus
134	otu	5.95352746503e-05	p__Proteobacteria	5.95352746503e-05	f__Alteromonadaceae_g__Umboniibacter
494	otu	0.000125610970459	p__Firmicutes	0.000125610970459	f__Clostridiaceae_g__Sarcina
495	otu	1.1064178745e-05	p__Firmicutes	1.1064178745e-05	f__Aerococcaceae_g__Facklamia
139	otu	1.11398184826	p__Bacteroidetes	1.11398184826	f__Bacteroidaceae_g__Bacteroides
138	otu	3.85228247737e-05	p__Actinobacteria	3.85228247737e-05	Other_Other
490	otu	0.00422651628061	p__Proteobacteria	0.00422651628061	Other_Other
491	otu	6.50834043827e-07	p__Proteobacteria	6.50834043827e-07	f___g__
492	otu	6.50834043827e-07	p__Proteobacteria	6.50834043827e-07	f__Oxalobacteraceae_Other
493	otu	0.0	p__	0.0	f___g__
24	otu	5.07800872016e-05	p__Bacteroidetes	5.07800872016e-05	f__[Weeksellaceae]_g__
25	otu	0.0467369416379	p__Firmicutes	0.0467369416379	f__Planococcaceae_Other
26	otu	2.53900436008e-05	p__Firmicutes	2.53900436008e-05	f__Enterococcaceae_g__Tetragenococcus
27	otu	0.0	p__Proteobacteria	0.0	f__Rhodospirillaceae_g__
20	otu	0.0	p__Proteobacteria	0.0	f__Acidithiobacillaceae_g__
21	otu	0.0	p__Proteobacteria	0.0	f___g__
22	otu	1.40082999177e-05	p__Firmicutes	1.40082999177e-05	f__Paenibacillaceae_g__Paenibacillus
23	otu	0.0	p__Proteobacteria	0.0	f__Bradyrhizobiaceae_g__
28	otu	0.0	p__Proteobacteria	0.0	f__Rhodobacteraceae_g__Octadecabacter
29	otu	5.25311246914e-06	p__Firmicutes	5.25311246914e-06	f__Lachnospiraceae_g__
820	otu	0.000391961969335	p__Proteobacteria	0.000391961969335	f__Helicobacteraceae_Other
407	otu	1.36675149204e-05	p__Proteobacteria	1.36675149204e-05	f__Thiotrichaceae_g__B46
406	otu	0.000463393839205	p__Firmicutes	0.000463393839205	f__Bacillaceae_Other
405	otu	3.90500426296e-06	p__Actinobacteria	3.90500426296e-06	f__Actinomycetaceae_Other
404	otu	4.55583830679e-06	p__Firmicutes	4.55583830679e-06	f__Staphylococcaceae_g__Jeotgalicoccus
403	otu	3.90500426296e-06	p__Bacteroidetes	3.90500426296e-06	f__Chitinophagaceae_Other
402	otu	1.75725191833e-05	p__Proteobacteria	1.75725191833e-05	f__Phyllobacteriaceae_g__Chelativorans
401	otu	0.0	p__Proteobacteria	0.0	Other_Other
400	otu	1.95250213148e-06	p__Proteobacteria	1.95250213148e-06	f__Enterobacteriaceae_g__Proteus
933	otu	2.58842809938e-05	p__Proteobacteria	2.58842809938e-05	f__Rhodobacteraceae_g__
932	otu	0.0	p__Actinobacteria	0.0	f__Nocardioidaceae_g__Aeromicrobium
931	otu	2.95820354216e-06	p__Firmicutes	2.95820354216e-06	f__Peptococcaceae_Other
