pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
mothur_0.4	-0.0140614038578	-0.0116926860396	0.0055178524846	-0.00594726015203	-0.000546105115388	0.00647744434775	-0.00264460124214	-0.00116455695814	-0.000421640937687	-6.68073537546e-05	-0.00155292941769	0.00127191794949	4.8408822524e-05	-0.0011646818201	-0.00120842764876	9.30680473568e-05	0.00038102163341	0.00044594051294	-7.32911042287e-05	-0.00011253652022	5.90181108767e-06	1.99034692194e-06	7.15605007304e-07	-8.46682019386e-09	-1.33906239669e-08	1.23256645731e-11	-1.00859263131e-09	1.79104442413e-10	-3.98133729887e-10	6.90698989937e-13	1.15746471261e-12
mothur_0.5	-0.0143421253824	-0.0128228731254	0.00516016918028	-0.00527984567129	-0.00168356313286	0.00814667495467	-0.00209911502152	-0.00143193449702	-0.0024901940604	0.00055702516214	-0.00257481807574	8.94035057505e-05	-0.000263786508716	-0.00199012611468	0.000554688714298	0.000471916444423	-0.000943861157542	3.41171553371e-05	1.80495938175e-05	1.09586028105e-05	-2.95124877494e-06	-5.61118985434e-07	-2.77545952462e-07	-6.23187592764e-08	-4.14048782157e-09	1.23249457971e-11	-1.00859263128e-09	1.79104442378e-10	-3.98133729734e-10	6.90698954307e-13	1.15746470943e-12
mothur_0.6	-0.0153367373364	-0.0140471328192	0.00508049234694	-0.00433056231532	-0.000183251726205	0.00939934904287	0.00191017810245	1.21075633705e-05	-0.00558608895826	0.00105366054705	0.00060300823064	0.00143743819947	0.00351120412004	0.00244762875497	3.76923913404e-05	-0.000341160680971	-0.00041706562752	9.40044320698e-05	-4.26605955948e-05	-3.14545099008e-05	-2.96232519448e-07	1.19729215477e-06	-3.88034176194e-08	3.33532850646e-08	3.23586275837e-09	1.2325050249e-11	-1.00859263146e-09	1.79104442437e-10	-3.98133729777e-10	6.90698928774e-13	1.15746470862e-12
mothur_0.7	-0.016152223198	-0.0382331052709	0.00106567280765	-0.0030183883338	-0.0035193049235	0.00171267671636	0.018668324505	-0.00395359167077	0.000421451170447	-0.0066877364742	-0.00286673006198	-0.000269982995587	-0.000599326552929	0.000269562787468	3.7236003144e-05	2.0731700487e-05	5.21547078413e-05	-8.78923109794e-06	1.42450424015e-06	5.55751673647e-07	-1.57829744394e-07	-2.45068755672e-08	-1.22965596506e-08	-3.48885336342e-09	-4.98671398233e-10	1.23250336047e-11	-1.00859263141e-09	1.79104442416e-10	-3.98133729763e-10	6.90698938082e-13	1.15746470875e-12
mothur_0.8	-0.0170155818666	-0.0365262835589	-0.000559846783162	0.0154633656904	-0.00920271504104	0.00113648193601	0.00481114795848	-0.0166138377134	0.00628053078904	0.005258365018	0.00218473179542	-0.00118879745823	0.000627020795755	-0.000262404565	-8.36920795652e-05	-2.57221921326e-05	-2.03187841654e-05	8.33377926611e-06	4.34832772757e-07	1.79463981856e-06	-8.112112906e-09	-7.07516336457e-08	5.75174656868e-09	1.5986406763e-09	1.70373860582e-10	1.23250332374e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729761e-10	6.90698935077e-13	1.15746470858e-12
mothur_0.9	-0.0380674200591	-0.0713758195295	-0.00857183038601	0.0147864958383	0.00177629650674	0.000243413384828	0.00191284813571	0.0042586509858	0.00117697522105	0.00288130034595	-0.00208172149811	0.00345662879725	-0.00149468026124	-0.000284207328708	0.00157764802284	-0.00042429471202	0.000235480468496	0.00013596099438	-9.85212792951e-06	-1.39572008376e-05	-1.25413741034e-06	-6.48935181641e-08	-2.78119871224e-08	-1.1684158576e-08	-9.25832062493e-10	1.23250170023e-11	-1.00859263138e-09	1.79104442409e-10	-3.98133729757e-10	6.90698941381e-13	1.15746470896e-12
mothur_1.0	-0.0888228375738	-0.145513933958	-0.0197428503036	-0.0230658567537	-0.0236859985292	-0.0173223502402	-0.00173690975875	0.00271525308858	-0.00294956211511	0.000612530257024	0.000688696443698	1.89920211007e-06	0.000297392937248	-0.00013181470272	-2.47616642033e-05	-5.66090818019e-06	-3.09187458236e-06	-3.1052971771e-06	-2.87108679388e-07	-8.33847720073e-07	8.39457292923e-08	3.13532509078e-08	-2.92198434083e-09	1.5746745132e-09	2.03277962477e-10	1.23250350923e-11	-1.00859263142e-09	1.7910444242e-10	-3.98133729763e-10	6.90698935447e-13	1.15746470862e-12
rdp_0.0	-0.0138240292575	-0.0103372629978	0.00550890855048	-0.00761152254365	0.00201758970547	0.00234801784617	-0.00311997383729	0.000304616059646	0.0033843925281	-0.00103869699277	0.000851242750176	-0.000878138313515	-0.000336137953974	0.000689508241166	0.00031888240403	0.000130439145286	4.98325143301e-05	0.000120952238055	3.2116994826e-05	8.58768071245e-05	3.14732315588e-05	3.0693882157e-05	5.28732789735e-06	-3.8930206417e-06	5.35136824855e-06	1.23528115263e-11	-1.00859272086e-09	1.7910445191e-10	-3.98133712121e-10	6.90681563003e-13	1.1574636347e-12
rdp_0.1	-0.0138276497195	-0.010351201128	0.00551436768539	-0.00756497248429	0.00195581803725	0.0024652156055	-0.003106753619	0.000262671201165	0.00329032951633	-0.00100188839862	0.000806802967206	-0.000831645166754	-0.000345229625723	0.000633169391047	0.000298565918486	0.000116058094244	5.0918349629e-05	6.58977525533e-05	-2.83240674409e-05	3.89272982006e-05	1.77565957916e-05	-3.62450293474e-05	-4.31957535337e-06	-1.77232927602e-05	-1.53373141052e-06	1.23152103937e-11	-1.00859260202e-09	1.791044332e-10	-3.98133729567e-10	6.90705264042e-13	1.15746501948e-12
rdp_0.2	-0.0138499114621	-0.0104477934923	0.00556380928664	-0.00737502931599	0.00170820487277	0.00293275036158	-0.00301916789082	0.000104402035258	0.0029176036859	-0.000865317044185	0.000609392978746	-0.000620314335771	-0.00041699526339	0.000374826257509	0.000185170566713	2.45463482326e-05	4.66950561809e-05	-4.61913174742e-05	-1.20847908591e-05	-4.44417950453e-05	-7.31400831086e-05	-6.62288910843e-08	4.36357589665e-05	2.85005225749e-07	-4.33450943174e-07	1.23253604764e-11	-1.00859262771e-09	1.79104442387e-10	-3.98133732754e-10	6.90700330895e-13	1.15746480135e-12
rdp_0.3	-0.013959965487	-0.0110885433171	0.00562352030625	-0.00691831400822	0.00116219206582	0.00407817652464	-0.00265984428173	-0.000267591359353	0.00192548022362	-0.000504879849516	-9.79966975661e-06	-8.20984697948e-05	-0.000874980247698	-0.000486219519969	-9.47995634071e-05	-0.000304379172667	-6.1762771138e-05	-0.000345868126381	-0.000272111567791	-7.49953089005e-05	3.81641695339e-05	1.0243083739e-05	-3.71574805003e-07	3.68423419601e-07	4.51778302812e-08	1.23254009119e-11	-1.0085926326e-09	1.79104442737e-10	-3.98133729969e-10	6.90698770777e-13	1.1574647012e-12
rdp_0.4	-0.0140496853171	-0.0115262290359	0.00553848892936	-0.00611025619762	-0.000215066726433	0.00596012219126	-0.00274868259576	-0.00106162988358	0.000213077607634	-0.000278083962948	-0.00143250624256	0.00147166340071	-6.0986064479e-05	-0.00100774696973	-0.000960665793956	-0.000706176189173	5.04609118478e-06	-0.000103816632052	7.35170131987e-05	0.000214711145827	-1.49212173889e-05	-5.93505297786e-06	3.35759804312e-07	5.91488088549e-08	5.75331000093e-09	1.23245365948e-11	-1.00859263136e-09	1.79104442413e-10	-3.98133729603e-10	6.90698888636e-13	1.15746470464e-12
rdp_0.5	-0.014358849951	-0.0126997547051	0.00521525093986	-0.00501309942073	-0.000769358189442	0.0101147572591	0.000934603514749	-0.00022924270649	-0.00573224622264	0.00233052629167	-0.00104020944553	0.000775450276827	0.00172272736422	-0.00036451070868	0.000314765169462	0.000626515189643	0.000744452475074	-0.000262130658964	2.14682730336e-05	4.62978950804e-05	2.50382348132e-06	-1.62949940856e-07	8.69397579729e-08	6.8928474277e-08	5.19628918957e-09	1.23249997731e-11	-1.00859263158e-09	1.79104442464e-10	-3.98133729775e-10	6.90698908503e-13	1.15746470704e-12
rdp_0.6	-0.014339851877	-0.017897222918	0.0058272079967	-0.00878910520929	0.0103774122273	0.00293182790499	0.0114224720106	0.0095178299105	-0.00351229853095	0.00399271009267	0.00480051087981	-0.00261675041508	-0.00107324659126	-0.000909104230901	-0.000231997753304	-0.000138226551196	-4.84159904929e-05	5.5537535553e-05	9.51082714418e-06	3.11483291539e-06	-1.07247674905e-06	-5.38366751874e-07	-1.84667825078e-08	-3.13057971533e-08	-2.71572118129e-09	1.23250291966e-11	-1.00859263135e-09	1.79104442398e-10	-3.98133729749e-10	6.90698946319e-13	1.15746470907e-12
rdp_0.7	-0.0357701648797	-0.0393702528696	0.00370032189594	-0.00814770511053	0.0255819320577	-0.0158094643974	-0.00210736762855	-0.0114768527819	-0.00655128696694	-0.000333912259901	3.95294775307e-05	0.000778476255942	-0.000460524808729	5.54971895706e-05	5.70445709878e-05	9.36885987611e-06	1.01451528178e-06	2.18911911275e-06	7.99989958452e-07	1.42389446481e-09	-1.5412332301e-07	-2.30890916934e-08	-5.55540621416e-09	-2.74339232353e-09	-2.59361203235e-10	1.23250337736e-11	-1.00859263141e-09	1.79104442417e-10	-3.98133729762e-10	6.90698937227e-13	1.1574647087e-12
rdp_0.8	-0.0373118308807	-0.0575738395495	-0.00166959426923	0.0127718375185	0.0108364985615	-0.00945499056404	1.59635470571e-05	0.00704760994948	0.00590574621326	0.000407384476947	-0.00404711813262	-0.00276321353237	0.00359687227251	-0.000710961782848	-0.000120507312341	-4.48814834981e-05	2.86507684737e-06	-2.12296882294e-05	-3.35474154967e-06	-8.14649061975e-06	1.07595066254e-06	2.76680943421e-07	1.41006989912e-08	1.95576333559e-08	1.93355473816e-09	1.23250447261e-11	-1.00859263146e-09	1.79104442432e-10	-3.98133729768e-10	6.90698928968e-13	1.15746470833e-12
rdp_0.9	-0.0371708903124	-0.071299407501	-0.00528104944421	0.0138265591146	0.00414976286821	-0.00295308463539	0.00210011539343	0.00541556713152	0.00366867501112	0.00225493236466	-0.000601570763169	0.00307664727329	-0.00174303196993	0.0015602639988	-0.00119176040229	0.000528068542931	-0.000263558015996	-0.000123473318335	1.2034361705e-05	1.29380306065e-05	9.10497008554e-07	-1.71402822465e-09	1.1283266794e-08	-1.3781438531e-09	-3.41859299828e-11	1.23250504254e-11	-1.00859263143e-09	1.79104442421e-10	-3.98133729766e-10	6.90698935116e-13	1.15746470855e-12
rdp_1.0	-0.0429953605253	-0.118120067096	-0.0201285459744	0.0379454004609	-0.00277138538519	0.00492877454209	-0.00614833229659	0.00052328149743	-0.00650708009295	-0.0043841067736	0.00286425713973	-0.00168729751087	-0.000383279524584	-0.000236290490862	-0.000116431395534	-1.74387300982e-05	2.82858367155e-05	-1.86367923997e-07	9.56432158526e-07	4.65632762124e-06	-3.50862812106e-07	-9.73762454521e-08	9.97568047966e-10	-3.77680883332e-09	-5.9575632769e-10	1.232502991e-11	-1.0085926314e-09	1.79104442416e-10	-3.98133729761e-10	6.90698938006e-13	1.15746470873e-12
rtax_single	-0.0162192765615	0.0794684710031	0.0743815062168	0.00911318514427	-0.00379790964403	-0.00861567799958	0.00127994621738	0.00240841351576	0.00207795933491	-0.00282735663367	0.00437125731941	0.00313595913544	0.00155566746469	-0.0010753051214	0.000158539023994	0.000101064549083	-3.6156646682e-05	-1.45879398788e-05	-1.07668851941e-07	6.07239132562e-07	3.88925670866e-07	6.01098893037e-08	5.1370028985e-09	5.37310926778e-09	6.58782629756e-10	1.23250328733e-11	-1.00859263143e-09	1.79104442423e-10	-3.98133729764e-10	6.9069893345e-13	1.15746470851e-12
rtax_paired	-0.0162586323754	0.0800653877849	0.0740297790257	0.010700373366	-0.00895684150784	-0.00454953105328	-0.00176231281007	0.000468099322745	-0.00529928540232	0.00231853648205	-0.00397082216828	-0.00279384112692	-0.00180783402207	0.00105144466601	-0.000104861108863	-0.000107921295694	4.63121528378e-05	1.74943568839e-05	3.67874330097e-07	-5.91513118117e-07	-3.89341348728e-07	-8.31686030577e-08	-1.35633229136e-10	-6.58184136579e-09	-8.59716977269e-10	1.23250394268e-11	-1.0085926314e-09	1.79104442414e-10	-3.98133729761e-10	6.90698939477e-13	1.15746470882e-12
Expected	0.655456970733	-0.0251982770295	-0.00419578218252	0.000468868939833	-0.00151011428513	-0.0027634133617	-0.000289870208807	0.000482178977567	-0.000473427336527	6.94288229553e-05	-3.10732340486e-05	8.72130378412e-05	2.00078634497e-05	-2.36591603734e-06	4.80618534059e-06	1.06100138831e-07	-5.68083523158e-07	-3.27784914873e-07	-9.2612497575e-08	-2.5522556125e-07	1.44558247034e-08	7.81889923381e-09	-4.51157730619e-10	2.04170228367e-10	3.34946575934e-11	1.23250345226e-11	-1.00859263142e-09	1.79104442419e-10	-3.98133729763e-10	6.90698936036e-13	1.15746470865e-12


eigvals	0.450829001685	0.130040409061	0.017164437034	0.00374063539888	0.00170380524648	-0.00123159241012	0.000655957563386	-0.000631247895447	0.000367428126374	-0.000148119509793	-0.000116628998498	6.85758023264e-05	-4.33048441944e-05	2.10029538872e-05	-7.28391686575e-06	-1.97028103588e-06	1.91859377431e-06	5.19711956765e-07	1.60900632712e-07	1.27741437133e-07	-1.79648998129e-08	-5.33034343238e-09	3.44807149875e-09	6.27790129257e-10	-6.14647939898e-11	2.88763207152e-13	5.05133797541e-17	-2.56632953328e-17	1.45921662297e-17	-1.95088450137e-18	-1.99104434367e-19
% variation explained	74.2993085466	21.431435068	2.82880160427	0.616479025579	0.280797267342	0.202973775292	0.108105719049	0.104033418387	0.0605543468324	0.0244109787053	0.0192211546118	0.0113017012589	0.00713689662452	0.00346141207736	0.001200432946	0.000324714066888	0.000316195697881	8.56516304113e-05	2.65173839982e-05	2.10525507814e-05	2.96072264477e-06	8.78472391664e-07	5.68262749775e-07	1.03463557894e-07	1.01297646698e-08	4.75898989304e-11	8.32490628166e-15	4.22946414522e-15	2.40487603285e-15	3.21517402306e-16	3.2813598386e-17
