Precison-Recall Output 
Values: precision,recall,f-measure,true positive, false positive,false negative
Set	Level_Method	Level	Method	Sample	P	R	F	TP	FP	FN
2 rdp_0.4	2 rdp_0.4	2	rdp_0.4	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.4	2 rdp_0.4	2	rdp_0.4	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.4	2 rdp_0.4	2	rdp_0.4	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_0.7	2 rdp_0.7	2	rdp_0.7	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.7	2 rdp_0.7	2	rdp_0.7	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.7	2 rdp_0.7	2	rdp_0.7	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.7	2 rdp_0.7	2	rdp_0.7	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_1.0	2 rdp_1.0	2	rdp_1.0	HMPMockV1.1.Even1	0.8	0.571428571428571	0.666666666666667	4	1	3
2 rdp_1.0	2 rdp_1.0	2	rdp_1.0	HMPMockV1.1.Even2	0.8	0.571428571428571	0.666666666666667	4	1	3
2 rdp_1.0	2 rdp_1.0	2	rdp_1.0	HMPMockV1.2.Staggered2	0.75	0.375	0.5	3	1	5
2 rdp_1.0	2 rdp_1.0	2	rdp_1.0	HMPMockV1.2.Staggered1	0.666666666666667	0.222222222222222	0.333333333333333	2	1	7
2 blast_1.0	2 blast_1.0	2	blast_1.0	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_1.0	2 blast_1.0	2	blast_1.0	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_1.0	2 blast_1.0	2	blast_1.0	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 blast_1.0	2 blast_1.0	2	blast_1.0	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 blast_1e-10	2 blast_1e-10	2	blast_1e-10	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_1e-10	2 blast_1e-10	2	blast_1e-10	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_1e-10	2 blast_1e-10	2	blast_1e-10	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 blast_1e-10	2 blast_1e-10	2	blast_1e-10	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.1	2 mothur_0.1	2	mothur_0.1	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.1	2 mothur_0.1	2	mothur_0.1	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.1	2 mothur_0.1	2	mothur_0.1	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.1	2 mothur_0.1	2	mothur_0.1	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.4	2 mothur_0.4	2	mothur_0.4	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.4	2 mothur_0.4	2	mothur_0.4	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.4	2 mothur_0.4	2	mothur_0.4	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.4	2 mothur_0.4	2	mothur_0.4	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.7	2 mothur_0.7	2	mothur_0.7	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.7	2 mothur_0.7	2	mothur_0.7	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.7	2 mothur_0.7	2	mothur_0.7	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.7	2 mothur_0.7	2	mothur_0.7	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_1.0	2 mothur_1.0	2	mothur_1.0	HMPMockV1.1.Even1	0.8	0.571428571428571	0.666666666666667	4	1	3
2 mothur_1.0	2 mothur_1.0	2	mothur_1.0	HMPMockV1.1.Even2	0.8	0.571428571428571	0.666666666666667	4	1	3
2 mothur_1.0	2 mothur_1.0	2	mothur_1.0	HMPMockV1.2.Staggered2	0.75	0.375	0.5	3	1	5
2 mothur_1.0	2 mothur_1.0	2	mothur_1.0	HMPMockV1.2.Staggered1	0.666666666666667	0.222222222222222	0.333333333333333	2	1	7
2 rdp_0.2	2 rdp_0.2	2	rdp_0.2	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.2	2 rdp_0.2	2	rdp_0.2	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.2	2 rdp_0.2	2	rdp_0.2	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.2	2 rdp_0.2	2	rdp_0.2	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_0.5	2 rdp_0.5	2	rdp_0.5	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.5	2 rdp_0.5	2	rdp_0.5	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.5	2 rdp_0.5	2	rdp_0.5	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.5	2 rdp_0.5	2	rdp_0.5	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_0.8	2 rdp_0.8	2	rdp_0.8	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.8	2 rdp_0.8	2	rdp_0.8	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.8	2 rdp_0.8	2	rdp_0.8	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.8	2 rdp_0.8	2	rdp_0.8	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 blast_100.0	2 blast_100.0	2	blast_100.0	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_100.0	2 blast_100.0	2	blast_100.0	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_100.0	2 blast_100.0	2	blast_100.0	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 blast_100.0	2 blast_100.0	2	blast_100.0	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 blast_1e-30	2 blast_1e-30	2	blast_1e-30	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_1e-30	2 blast_1e-30	2	blast_1e-30	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 blast_1e-30	2 blast_1e-30	2	blast_1e-30	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 blast_1e-30	2 blast_1e-30	2	blast_1e-30	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.2	2 mothur_0.2	2	mothur_0.2	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.2	2 mothur_0.2	2	mothur_0.2	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.2	2 mothur_0.2	2	mothur_0.2	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.2	2 mothur_0.2	2	mothur_0.2	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.5	2 mothur_0.5	2	mothur_0.5	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.5	2 mothur_0.5	2	mothur_0.5	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.5	2 mothur_0.5	2	mothur_0.5	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.5	2 mothur_0.5	2	mothur_0.5	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 mothur_0.8	2 mothur_0.8	2	mothur_0.8	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.8	2 mothur_0.8	2	mothur_0.8	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 mothur_0.8	2 mothur_0.8	2	mothur_0.8	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 mothur_0.8	2 mothur_0.8	2	mothur_0.8	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_0.0	2 rdp_0.0	2	rdp_0.0	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.0	2 rdp_0.0	2	rdp_0.0	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.0	2 rdp_0.0	2	rdp_0.0	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.0	2 rdp_0.0	2	rdp_0.0	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_0.3	2 rdp_0.3	2	rdp_0.3	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.3	2 rdp_0.3	2	rdp_0.3	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.3	2 rdp_0.3	2	rdp_0.3	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.3	2 rdp_0.3	2	rdp_0.3	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_0.6	2 rdp_0.6	2	rdp_0.6	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.6	2 rdp_0.6	2	rdp_0.6	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.6	2 rdp_0.6	2	rdp_0.6	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.6	2 rdp_0.6	2	rdp_0.6	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rdp_0.9	2 rdp_0.9	2	rdp_0.9	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.9	2 rdp_0.9	2	rdp_0.9	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rdp_0.9	2 rdp_0.9	2	rdp_0.9	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rdp_0.9	2 rdp_0.9	2	rdp_0.9	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 rtax_single	2 rtax_single	2	rtax_single	HMPMockV1.1.Even1	1	0.571428571428571	0.727272727272727	4	0	3
2 rtax_single	2 rtax_single	2	rtax_single	HMPMockV1.1.Even2	1	0.571428571428571	0.727272727272727	4	0	3
2 rtax_single	2 rtax_single	2	rtax_single	HMPMockV1.2.Staggered2	1	0.375	0.545454545454545	3	0	5
2 rtax_single	2 rtax_single	2	rtax_single	HMPMockV1.2.Staggered1	1	0.222222222222222	0.363636363636364	2	0	7
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 blast_0.0001	2 blast_0.0001	2	blast_0.0001	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-06	2 blast_1e-06	2	blast_1e-06	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	HMPMockV1.2.Staggered2	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	HMPMockV1.1.Even2	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	HMPMockV1.2.Staggered1	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 mothur_0.0	2 mothur_0.0	2	mothur_0.0	HMPMockV1.1.Even1	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	HMPMockV1.2.Staggered2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	HMPMockV1.1.Even2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	HMPMockV1.2.Staggered1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.3	2 mothur_0.3	2	mothur_0.3	HMPMockV1.1.Even1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.6	2 mothur_0.6	2	mothur_0.6	HMPMockV1.2.Staggered2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.6	2 mothur_0.6	2	mothur_0.6	HMPMockV1.1.Even2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.6	2 mothur_0.6	2	mothur_0.6	HMPMockV1.2.Staggered1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.6	2 mothur_0.6	2	mothur_0.6	HMPMockV1.1.Even1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.9	2 mothur_0.9	2	mothur_0.9	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 mothur_0.9	2 mothur_0.9	2	mothur_0.9	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 mothur_0.9	2 mothur_0.9	2	mothur_0.9	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 mothur_0.9	2 mothur_0.9	2	mothur_0.9	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.1	2 rdp_0.1	2	rdp_0.1	HMPMockV1.2.Staggered2	0.5	0.857142857142857	0.631578947368421	6	6	1
2 rdp_0.1	2 rdp_0.1	2	rdp_0.1	HMPMockV1.1.Even2	0.5	0.857142857142857	0.631578947368421	6	6	1
2 rdp_0.1	2 rdp_0.1	2	rdp_0.1	HMPMockV1.2.Staggered1	0.5	0.857142857142857	0.631578947368421	6	6	1
2 rdp_0.1	2 rdp_0.1	2	rdp_0.1	HMPMockV1.1.Even1	0.5	0.857142857142857	0.631578947368421	6	6	1
2 rdp_0.4	2 rdp_0.4	2	rdp_0.4	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.4	2 rdp_0.4	2	rdp_0.4	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.4	2 rdp_0.4	2	rdp_0.4	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.4	2 rdp_0.4	2	rdp_0.4	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.7	2 rdp_0.7	2	rdp_0.7	HMPMockV1.2.Staggered2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 rdp_0.7	2 rdp_0.7	2	rdp_0.7	HMPMockV1.1.Even2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 rdp_0.7	2 rdp_0.7	2	rdp_0.7	HMPMockV1.2.Staggered1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 rdp_0.7	2 rdp_0.7	2	rdp_0.7	HMPMockV1.1.Even1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 rdp_1.0	2 rdp_1.0	2	rdp_1.0	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 rdp_1.0	2 rdp_1.0	2	rdp_1.0	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 rdp_1.0	2 rdp_1.0	2	rdp_1.0	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 rdp_1.0	2 rdp_1.0	2	rdp_1.0	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 blast_1.0	2 blast_1.0	2	blast_1.0	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 blast_1.0	2 blast_1.0	2	blast_1.0	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 blast_1.0	2 blast_1.0	2	blast_1.0	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 blast_1.0	2 blast_1.0	2	blast_1.0	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-10	2 blast_1e-10	2	blast_1e-10	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-10	2 blast_1e-10	2	blast_1e-10	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-10	2 blast_1e-10	2	blast_1e-10	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-10	2 blast_1e-10	2	blast_1e-10	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 mothur_0.1	2 mothur_0.1	2	mothur_0.1	HMPMockV1.2.Staggered2	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 mothur_0.1	2 mothur_0.1	2	mothur_0.1	HMPMockV1.1.Even2	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 mothur_0.1	2 mothur_0.1	2	mothur_0.1	HMPMockV1.2.Staggered1	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 mothur_0.1	2 mothur_0.1	2	mothur_0.1	HMPMockV1.1.Even1	0.545454545454545	0.857142857142857	0.666666666666667	6	5	1
2 mothur_0.4	2 mothur_0.4	2	mothur_0.4	HMPMockV1.2.Staggered2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.4	2 mothur_0.4	2	mothur_0.4	HMPMockV1.1.Even2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.4	2 mothur_0.4	2	mothur_0.4	HMPMockV1.2.Staggered1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.4	2 mothur_0.4	2	mothur_0.4	HMPMockV1.1.Even1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.7	2 mothur_0.7	2	mothur_0.7	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 mothur_0.7	2 mothur_0.7	2	mothur_0.7	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 mothur_0.7	2 mothur_0.7	2	mothur_0.7	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 mothur_0.7	2 mothur_0.7	2	mothur_0.7	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 mothur_1.0	2 mothur_1.0	2	mothur_1.0	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 mothur_1.0	2 mothur_1.0	2	mothur_1.0	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 mothur_1.0	2 mothur_1.0	2	mothur_1.0	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 mothur_1.0	2 mothur_1.0	2	mothur_1.0	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.2	2 rdp_0.2	2	rdp_0.2	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.2	2 rdp_0.2	2	rdp_0.2	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.2	2 rdp_0.2	2	rdp_0.2	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.2	2 rdp_0.2	2	rdp_0.2	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.5	2 rdp_0.5	2	rdp_0.5	HMPMockV1.2.Staggered2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 rdp_0.5	2 rdp_0.5	2	rdp_0.5	HMPMockV1.1.Even2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 rdp_0.5	2 rdp_0.5	2	rdp_0.5	HMPMockV1.2.Staggered1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 rdp_0.5	2 rdp_0.5	2	rdp_0.5	HMPMockV1.1.Even1	0.666666666666667	0.857142857142857	0.75	6	3	1
2 rdp_0.8	2 rdp_0.8	2	rdp_0.8	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.8	2 rdp_0.8	2	rdp_0.8	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.8	2 rdp_0.8	2	rdp_0.8	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 rdp_0.8	2 rdp_0.8	2	rdp_0.8	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 blast_100.0	2 blast_100.0	2	blast_100.0	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 blast_100.0	2 blast_100.0	2	blast_100.0	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 blast_100.0	2 blast_100.0	2	blast_100.0	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 blast_100.0	2 blast_100.0	2	blast_100.0	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-30	2 blast_1e-30	2	blast_1e-30	HMPMockV1.2.Staggered2	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-30	2 blast_1e-30	2	blast_1e-30	HMPMockV1.1.Even2	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-30	2 blast_1e-30	2	blast_1e-30	HMPMockV1.2.Staggered1	0.75	0.857142857142857	0.8	6	2	1
2 blast_1e-30	2 blast_1e-30	2	blast_1e-30	HMPMockV1.1.Even1	0.75	0.857142857142857	0.8	6	2	1
2 mothur_0.2	2 mothur_0.2	2	mothur_0.2	HMPMockV1.2.Staggered2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.2	2 mothur_0.2	2	mothur_0.2	HMPMockV1.1.Even2	0.666666666666667	0.857142857142857	0.75	6	3	1
2 mothur_0.2	2 mothur_0.2	2	mothur_0.2	HMPMockV1.2.Staggered1	0.666666666666667	0.857142857142857	0.75	6	3	1
