Taxon	blast_0.0001	blast_1.0	blast_1e-06	blast_1e-10	blast_1e-30	mothur_0.1	mothur_0.2	mothur_0.3	mothur_0.4	mothur_0.5	mothur_0.6	mothur_0.7	mothur_0.8	mothur_0.9	rdp_0.1	rdp_0.2	rdp_0.3	rdp_0.4	rdp_0.5	rdp_0.6	rdp_0.7	rdp_0.8	rdp_0.9	rtax	Expected
g__Gaeumannomyces	0	0	0	0	0	2.60247234873e-05	0	0	0	0	0	0	0	0	2.60247234873e-05	2.60247234873e-05	0	0	0	0	0	0	0	0	0	
g__Pichia	0.000104098893949	0.000104098893949	0.000104098893949	0.000104098893949	0.000104098893949	0.0755497722837	0.0755497722837	0.0755497722837	0.0755497722837	0.0754456733897	0.0754456733897	0.0747169811321	0.0744307091737	0.0541574495771	0.0755497722837	0.0755497722837	0.0755497722837	0.0755497722837	0.0755237475602	0.0747950553025	0.0747169811321	0.0746389069616	0.0541314248536	0.0543916720885	0.0625	
g__unidentified	0.000546519193234	0.000546519193234	0.000546519193234	0.000546519193234	0.000546519193234	2.60247234873e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	
g__Dipodascus	0.0911646063761	0.0911646063761	0.0911646063761	0.0911646063761	0.0911646063761	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.014313597918	0.164320104099	0	
g__Aspergillus	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0	0	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0.000156148340924	0	
g__unidentified	0.00039037085231	0.00039037085231	0.00039037085231	0.00039037085231	0.00039037085231	0.0805204944697	0	0	0.0805204944697	0.0803903708523	0	0	0	0	0.0805204944697	0	0	0	0	0	0	0	0	0.0	0	
Other	0	0	0	0	0	0	0	0.0	2.60247234873e-05	0.000104098893949	0.0585035783995	0.058529603123	0.084059856864	0.118152244632	0	2.60247234873e-05	2.60247234873e-05	7.80741704619e-05	0.000156148340924	0.0585556278465	0.058529603123	0.0586337020169	0.0848926480156	0.000130123617437	0	
g__Claviceps	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	
g__Galactomyces	0.303916720885	0.303916720885	0.303916720885	0.303916720885	0.303916720885	0.374886141835	0.374886141835	0.374860117111	0.374834092388	0.374808067664	0.295692908263	0.241743656474	0.13970071568	0	0.374886141835	0.374886141835	0.374860117111	0.374834092388	0.374808067664	0.315029277814	0.238204294079	0.139622641509	0	0.0961873780091	0.25	
g__Neonectria	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Zygosaccharomyces	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0116070266753	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0158230318803	0.0625	
g__Bartalinia	7.80741704619e-05	7.80741704619e-05	7.80741704619e-05	7.80741704619e-05	7.80741704619e-05	0	0	0	0	0	0	0	0	0	2.60247234873e-05	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0.0	0.000728692257645	0.000728692257645	0.000650618087183	0	0	0	0.0	0	0.000650618087183	0.000702667534157	0.000728692257645	0.106571242681	0	0	
Other	0	0	0	0	0	0.000130123617437	0.0806506180872	0.0806506180872	0.000130123617437	0.000338321405335	0.0807807417046	0.0831750162655	0.081014964216	0.154690956409	0.000130123617437	0.0806506180872	0.0806506180872	0.0806506180872	0.0806506180872	0.140429407938	0.0831750162655	0.0832791151594	0.102147039688	0.0803903708523	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Candida	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.148991541965	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149121665582	0.149069616135	0.148991541965	0.149121665582	0.1875	
g__Issatchenkia	0	0	0	0	0	0.106935588809	0.106935588809	0.106935588809	0.106935588809	0.106935588809	0.106935588809	0.106831489915	0.106649316851	0.105920624593	0.106935588809	0.106935588809	0.106935588809	0.106935588809	0.106935588809	0.106935588809	0.106857514639	0.106727391021	0.00067664281067	0	0	
g__Debaryomyces	0	0	0	0	0	0.0584515289525	0.0584515289525	0.0584515289525	0.058425504229	0.058425504229	2.60247234873e-05	0	0	0	0.0584515289525	0.058425504229	0.058425504229	0.0583994795055	0.0583994795055	0	0	0	0	0.058425504229	0.0625	
Other	0	0	0	0	0	0	2.60247234873e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Penicillium	0.0597527651269	0.0597527651269	0.0597527651269	0.0597527651269	0.0597527651269	0.0600910865322	0.0600910865322	0.0600910865322	0.0600910865322	0.0600910865322	0.0600910865322	0.0600910865322	0.0595705920625	0.0592322706571	0.0600910865322	0.0600910865322	0.0600910865322	0.0600910865322	0.0600910865322	0.0600910865322	0.0600390370852	0.0592322706571	0.0588158750813	0.0600390370852	0.1875	
g__Bionectria	0	0	0	0	0	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Cyanonectria	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.00067664281067	0.000858815875081	0	0	0.0	0.0	0	0.0	5.20494469746e-05	0.000832791151594	0.00117111255693	0	0	
g__Fusarium	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	7.80741704619e-05	7.80741704619e-05	5.20494469746e-05	0.0	0	0	0	0	0	7.80741704619e-05	7.80741704619e-05	5.20494469746e-05	0.0	0.0	0.0	0	0	0	0.000234222511386	0.0625	
Other	0	0	0	0	0	0	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	5.20494469746e-05	5.20494469746e-05	0.0575406636304	0.0599869876383	0.26365647365	0	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	5.20494469746e-05	0.0575406636304	0.0577488614183	0.271932335719	0.00109303838647	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	7.80741704619e-05	0	0	0	0	0.0	0.0	0.0	2.60247234873e-05	0	0	0	
g__unidentified	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	2.60247234873e-05	2.60247234873e-05	2.60247234873e-05	0.000104098893949	0.000182173064411	0.000208197787899	0.000156148340924	0	2.60247234873e-05	5.20494469746e-05	5.20494469746e-05	5.20494469746e-05	0.000104098893949	0.000208197787899	0.000234222511386	0.000208197787899	0	0	
g__Kluyveromyces	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0517111255693	0.0625	
g__Microascus	0	0	0	0	0	0.0111906310995	0.0111906310995	0.0111906310995	0.0111385816526	0	0	0	0	0	0.0111906310995	0.0111906310995	0.0111385816526	0.0111385816526	0	0	0	0	0	0	0	
NO_HIT	0	0	0	0	0.00421600520494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Ilyonectria	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	
g__Nectria	0	0	0	0	0	0.000832791151594	0.000754716981132	0.000416395575797	0.000338321405335	0	0	0	0	0	0.000832791151594	0.000780741704619	0.000754716981132	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	1.97910069664e-05	1.97910069664e-05	1.97910069664e-05	0	0	0	0	0	0	0	1.97910069664e-05	1.97910069664e-05	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0.0	3.95820139329e-05	3.95820139329e-05	3.95820139329e-05	0.00055414819506	0.000158328055731	0.000712476250792	0.00114787840405	0.00055414819506	3.95820139329e-05	3.95820139329e-05	3.95820139329e-05	3.95820139329e-05	0.000138537048765	0.000633312222926	0.000692685243825	0.00118746041799	0.000672894236859	0	0	
Other	0	0	0	0	0	0	3.95820139329e-05	0.00055414819506	0.000692685243825	0.000692685243825	0.00106871437619	0.000494775174161	0	0	0	3.95820139329e-05	9.89550348322e-05	0.00118746041799	0.00110829639012	0.000573939202027	0.000534357188094	0	0	3.95820139329e-05	0	
g__Neosartorya	0.000316656111463	0.000316656111463	0.000316656111463	0.000316656111463	0.000316656111463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Scopulariopsis	0	0	0	0	0	5.93730208993e-05	5.93730208993e-05	5.93730208993e-05	3.95820139329e-05	0.0	0.0	0	0	0	5.93730208993e-05	5.93730208993e-05	5.93730208993e-05	5.93730208993e-05	0.0	0.0	0	0	0	1.97910069664e-05	0.0625	
Other	0	0	0	0	0	0	1.97910069664e-05	7.91640278657e-05	5.93730208993e-05	9.89550348322e-05	0.0628760291324	0.0876147878404	0.148808581381	5.93730208993e-05	0	0	5.93730208993e-05	3.95820139329e-05	5.93730208993e-05	9.89550348322e-05	0.061312539582	0.168144395187	0.061292748575	0	0	
g__unidentified	0.392693160228	0.392693160228	0.392693160228	0.392693160228	0.392693160228	3.95820139329e-05	3.95820139329e-05	0	0	0	0	0	0	0	3.95820139329e-05	0	0	0	0	0	0	0	0	0.319426852438	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95820139329e-05	0	
Other	0	0	0	0	0	0	0.0	0.0	1.97910069664e-05	0.0115975300823	0.0115777390754	0.0115777390754	0.0115579480684	0.0	0	0.0	0.0	0.0	0.0115975300823	0.0115975300823	0.0115579480684	0.0115579480684	0.0115183660545	0	0	
Other	0	0	0	0	0	0	0	0	0	0	1.97910069664e-05	0	0	0.0115183660545	0	0	0	0	0	0.0	1.97910069664e-05	0	0	0	0	
g__Gaeumannomyces	0	0	0	0	0	3.95820139329e-05	0	0	0	0	0	0	0	0	3.95820139329e-05	3.95820139329e-05	0	0	0	0	0	0	0	0	0	
g__Pichia	3.95820139329e-05	3.95820139329e-05	3.95820139329e-05	3.95820139329e-05	3.95820139329e-05	0.0657853071564	0.0657853071564	0.0657853071564	0.0657853071564	0.0657457251425	0.0657457251425	0.0649738758708	0.0644791006966	0.0457370170994	0.0657853071564	0.0657853071564	0.0657853071564	0.0657853071564	0.0657853071564	0.0650134578847	0.0649738758708	0.0647165927802	0.0457370170994	0.046014091197	0.0625	
g__unidentified	0.000791640278657	0.000791640278657	0.000791640278657	0.000791640278657	0.000791640278657	3.95820139329e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97910069664e-05	0	
g__Dipodascus	0.0845471817606	0.0845471817606	0.0845471817606	0.0845471817606	0.0845471817606	0.0231752691577	0.0231752691577	0.0231752691577	0.0231752691577	0.0231554781507	0.0231554781507	0.0231554781507	0.0231554781507	0.0231554781507	0.0231752691577	0.0231752691577	0.0231752691577	0.0231752691577	0.0231554781507	0.0231554781507	0.0231554781507	0.0231554781507	0.0231554781507	0.172063014566	0	
g__Aspergillus	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0	0	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0.000178119062698	0	
g__unidentified	0.000494775174161	0.000494775174161	0.000494775174161	0.000494775174161	0.000494775174161	0.0923448385054	0	0	0.0923250474984	0.0918500633312	0	0	0	0	0.0923250474984	0	0	0	0	0	0	0	0	1.97910069664e-05	0	
Other	0	0	0	0	0	0	0	1.97910069664e-05	3.95820139329e-05	3.95820139329e-05	0.0515555731476	0.0515951551615	0.071326789107	0.102477834072	0	5.93730208993e-05	7.91640278657e-05	7.91640278657e-05	0.000118746041799	0.0515753641545	0.0515753641545	0.0516941101963	0.0733454718176	0.000197910069664	0	
g__Claviceps	0	0	0	0	0	1.97910069664e-05	0	0	0	0	0	0	0	0	1.97910069664e-05	1.97910069664e-05	0	0	0	0	0	0	0	0	0	
g__Galactomyces	0.276935560481	0.276935560481	0.276935560481	0.276935560481	0.276935560481	0.41349350855	0.413434135529	0.413374762508	0.413394553515	0.41329559848	0.350439360355	0.283427010766	0.202798448385	0	0.41349350855	0.413473717543	0.413414344522	0.413414344522	0.413354971501	0.371061589614	0.309729259025	0.202739075364	0	0.0724152944902	0.25	
g__Neonectria	1.97910069664e-05	1.97910069664e-05	1.97910069664e-05	1.97910069664e-05	1.97910069664e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Zygosaccharomyces	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.01298290057	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0168619379354	0.0625	
g__Bartalinia	1.97910069664e-05	1.97910069664e-05	1.97910069664e-05	1.97910069664e-05	1.97910069664e-05	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	0	0	1.97910069664e-05	0.000771849271691	0.000771849271691	0.000771849271691	0	0	0	1.97910069664e-05	0	0.000752058264725	0.000870804306523	0.000771849271691	0.0959665927802	0	0	
Other	0	0	0	0	0	7.91640278657e-05	0.0924635845472	0.0925229575681	0.000178119062698	0.000732267257758	0.0926614946168	0.094323939202	0.0930573147562	0.181028340722	9.89550348322e-05	0.0924833755541	0.0924833755541	0.0925031665611	0.092542748575	0.134816339455	0.0942447751742	0.0946010132996	0.112610829639	0.0918500633312	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	3.95820139329e-05	0	0	0	0	0	0	0	0	0	0	0	0	
g__Candida	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.114748258391	0.1875	
g__Issatchenkia	0	0	0	0	0	0.0960457568081	0.0960457568081	0.0960457568081	0.0960457568081	0.0960457568081	0.0960061747942	0.0959665927802	0.0957686827106	0.0952541165294	0.0960457568081	0.0960457568081	0.0960457568081	0.0960259658011	0.0960259658011	0.0960061747942	0.0958676377454	0.0958676377454	0.000415611146295	0	0	
g__Debaryomyces	0	0	0	0	0	0.0515159911336	0.0515159911336	0.0515159911336	0.0515159911336	0.0515159911336	3.95820139329e-05	0	0	0	0.0515159911336	0.0514764091197	0.0514764091197	0.0514764091197	0.0514764091197	0	0	0	0	0.0514764091197	0.0625	
Other	0	0	0	0	0	0	3.95820139329e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Penicillium	0.0656269791007	0.0656269791007	0.0656269791007	0.0656269791007	0.0656269791007	0.0660821722609	0.0660821722609	0.0660821722609	0.066042590247	0.0660030082331	0.0660030082331	0.0659634262191	0.0655082330589	0.0651915769474	0.0660821722609	0.0660821722609	0.066042590247	0.0660030082331	0.066042590247	0.0659832172261	0.0659436352122	0.0651915769474	0.0647957568081	0.06602279924	0.1875	
g__Bionectria	0	0	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Cyanonectria	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	0	3.95820139329e-05	7.91640278657e-05	3.95820139329e-05	5.93730208993e-05	0.000633312222926	0.000870804306523	0	0	3.95820139329e-05	7.91640278657e-05	0	5.93730208993e-05	7.91640278657e-05	0.000771849271691	0.00112808739709	0	0	
g__Fusarium	5.93730208993e-05	5.93730208993e-05	5.93730208993e-05	5.93730208993e-05	3.95820139329e-05	0.000118746041799	0.000118746041799	7.91640278657e-05	1.97910069664e-05	0	0	0	0	0	0.000118746041799	0.000118746041799	7.91640278657e-05	1.97910069664e-05	1.97910069664e-05	1.97910069664e-05	0	0	0	0.000534357188094	0.0625	
Other	0	0	0	0	0	0	0.0	3.95820139329e-05	3.95820139329e-05	7.91640278657e-05	9.89550348322e-05	0.0408090563648	0.0424912919569	0.294945376821	0	3.95820139329e-05	3.95820139329e-05	3.95820139329e-05	3.95820139329e-05	7.91640278657e-05	0.0408684293857	0.0410069664345	0.330747308423	0.00140516149462	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95820139329e-05	0	0	0	0	3.95820139329e-05	3.95820139329e-05	1.97910069664e-05	0.0	0	0	0	
g__unidentified	0	0	0	0	0	1.97910069664e-05	1.97910069664e-05	0	0	0	0	0	0	0	1.97910069664e-05	1.97910069664e-05	0	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	0	3.95820139329e-05	3.95820139329e-05	5.93730208993e-05	7.91640278657e-05	9.89550348322e-05	0.000178119062698	0.000118746041799	0	0.0	3.95820139329e-05	3.95820139329e-05	3.95820139329e-05	7.91640278657e-05	9.89550348322e-05	0.000138537048765	0.000158328055731	0	0	
g__Kluyveromyces	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0466671944269	0.0625	
g__Microascus	0	0	0	0	0	0.0115381570614	0.0115381570614	0.0115381570614	0.0115381570614	0	0	0	0	0	0.0115381570614	0.0115381570614	0.0115381570614	0.0115381570614	0	0	0	0	0	0	0	
NO_HIT	0	0	0	0	0.00389882837239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Ilyonectria	0	0	0	0	0	5.93730208993e-05	5.93730208993e-05	0	0	0	0	0	0	0	5.93730208993e-05	0	0	0	0	0	0	0	0	0	0	
g__Nectria	0	0	0	0	0	0.00108850538315	0.00104892336922	0.000573939202027	0.000494775174161	0	0	0	0	0	0.00108850538315	0.00104892336922	0.00102913236225	0	0	0	0	0	0	0	0	
Other	0	0	0	0	0	0	3.19938571794e-05	3.19938571794e-05	3.19938571794e-05	0	0	0	0	0	0	0	3.19938571794e-05	3.19938571794e-05	0	0	0	0	0	0	0	
Other	0	0	0	0	0	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	4.79907857691e-05	0.000447914000512	0.000223957000256	0.000591886357819	0.000799846429486	0.000367929357563	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	0.000159969285897	0.000495904786281	0.00057588942923	0.000831840286665	0.000511901714871	0	0	
Other	0	0	0	0	0	0	9.59815715383e-05	0.000415920143332	0.00057588942923	0.000447914000512	0.000703864857947	0.000271947786025	0	0	0	7.99846429486e-05	0.000143972357307	0.000815843358075	0.000703864857947	0.000383926286153	0.000303941643205	0	0	6.39877143588e-05	0	
g__Neosartorya	0.000271947786025	0.000271947786025	0.000271947786025	0.000271947786025	0.000271947786025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
g__Scopulariopsis	0	0	0	0	0	7.99846429486e-05	7.99846429486e-05	6.39877143588e-05	6.39877143588e-05	3.19938571794e-05	3.19938571794e-05	0	0	0	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	3.19938571794e-05	3.19938571794e-05	0	0	0	9.59815715383e-05	0.0625	
Other	0	0	0	0	0	0	1.59969285897e-05	7.99846429486e-05	9.59815715383e-05	7.99846429486e-05	0.0834879703097	0.0779850268748	0.158945482467	0.000207960071666	0	0	3.19938571794e-05	1.59969285897e-05	4.79907857691e-05	0.000287944714615	0.0812004095214	0.183356795495	0.0811844125928	0	0	
g__unidentified	0.336255438956	0.336255438956	0.336255438956	0.336255438956	0.336255438956	1.59969285897e-05	0.0	0	0	0	0	0	0	0	1.59969285897e-05	0	0	0	0	0	0	0	0	0.272619657026	0	
Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19938571794e-05	0	
Other	0	0	0	0	0	0	3.19938571794e-05	4.79907857691e-05	4.79907857691e-05	0.0125415920143	0.0125095981572	0.0125415920143	0.0125095981572	3.19938571794e-05	0	3.19938571794e-05	6.39877143588e-05	3.19938571794e-05	0.0125415920143	0.0125095981572	0.0125095981572	0.0125095981572	0.0124936012286	0	0	
Other	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0.0124616073714	0	0	0	0	0	3.19938571794e-05	3.19938571794e-05	0	0	0	0	
g__Gaeumannomyces	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	0	
g__Pichia	4.79907857691e-05	4.79907857691e-05	4.79907857691e-05	4.79907857691e-05	4.79907857691e-05	0.0761613770156	0.0761613770156	0.0761613770156	0.0761613770156	0.0761293831584	0.0761293831584	0.0753615305861	0.0750575889429	0.0539096493473	0.0761613770156	0.0761613770156	0.0761613770156	0.0761613770156	0.076145380087	0.0753775275147	0.0753615305861	0.0751855643716	0.0538936524187	0.0540536217046	0.0625	
g__unidentified	0.00055989250064	0.00055989250064	0.00055989250064	0.00055989250064	0.00055989250064	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19938571794e-05	0	
g__Dipodascus	0.0941099308933	0.0941099308933	0.0941099308933	0.0941099308933	0.0941099308933	0.0128295367289	0.0128295367289	0.0128295367289	0.0128295367289	0.0128135398004	0.0128135398004	0.0128135398004	0.0128135398004	0.0128135398004	0.0128295367289	0.0128295367289	0.0128295367289	0.0128295367289	0.0128135398004	0.0128135398004	0.0128135398004	0.0128135398004	0.0128135398004	0.171886997696	0	
g__Aspergillus	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	0	0	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	7.99846429486e-05	0	
g__unidentified	0.000335935500384	0.000335935500384	0.000335935500384	0.000335935500384	0.000335935500384	0.0983811108267	0	0	0.098333120041	0.0979651906834	0	0	0	0	0.098333120041	0	0	0	0	0	0	0	0	1.59969285897e-05	0	
Other	0	0	0	0	0	0	0	4.79907857691e-05	7.99846429486e-05	0.000111978500128	0.0568530842078	0.0569330688508	0.0816163296647	0.116713590991	0	4.79907857691e-05	9.59815715383e-05	0.000239953928846	0.000159969285897	0.0569490657794	0.0569170719222	0.056965062708	0.0826721269516	0.000159969285897	0	
g__Claviceps	0	0	0	0	0	3.19938571794e-05	0	0	0	0	0	0	0	0	3.19938571794e-05	3.19938571794e-05	0	0	0	0	0	0	0	0	0	
g__Galactomyces	0.313651778858	0.313651778858	0.313651778858	0.313651778858	0.313651778858	0.367881366778	0.36784937292	0.367753391349	0.367721397492	0.367593422063	0.28413744561	0.235634758126	0.130151011006	0	0.367881366778	0.367865369849	0.367801382135	0.367673406706	0.367641412849	0.313459815715	0.232435372408	0.130167007934	0	0.0899027386742	0.25	
g__Neonectria	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	1.59969285897e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
