#SampleID	assignment_method	Description
uclust_consensus1.0_similarity0.97_accepts10	uclust	uclust_consensus1.0_similarity0.97_accepts10
uclust_consensus0.5_similarity0.93_accepts10	uclust	uclust_consensus0.5_similarity0.93_accepts10
uclust_consensus0.75_similarity0.7_accepts1	uclust	uclust_consensus0.75_similarity0.7_accepts1
uclust_consensus0.75_similarity0.9_accepts5	uclust	uclust_consensus0.75_similarity0.9_accepts5
uclust_consensus1.0_similarity0.97_accepts3	uclust	uclust_consensus1.0_similarity0.97_accepts3
uclust_consensus0.5_similarity0.93_accepts3	uclust	uclust_consensus0.5_similarity0.93_accepts3
uclust_consensus0.75_similarity0.7_accepts10	uclust	uclust_consensus0.75_similarity0.7_accepts10
uclust_consensus0.75_similarity1.0_accepts1	uclust	uclust_consensus0.75_similarity1.0_accepts1
uclust_consensus1.0_similarity0.97_accepts5	uclust	uclust_consensus1.0_similarity0.97_accepts5
uclust_consensus0.5_similarity0.93_accepts5	uclust	uclust_consensus0.5_similarity0.93_accepts5
uclust_consensus0.75_similarity0.7_accepts3	uclust	uclust_consensus0.75_similarity0.7_accepts3
uclust_consensus0.75_similarity1.0_accepts10	uclust	uclust_consensus0.75_similarity1.0_accepts10
uclust_consensus1.0_similarity0.99_accepts1	uclust	uclust_consensus1.0_similarity0.99_accepts1
uclust_consensus0.5_similarity0.95_accepts1	uclust	uclust_consensus0.5_similarity0.95_accepts1
uclust_consensus0.75_similarity0.7_accepts5	uclust	uclust_consensus0.75_similarity0.7_accepts5
uclust_consensus0.75_similarity1.0_accepts3	uclust	uclust_consensus0.75_similarity1.0_accepts3
uclust_consensus1.0_similarity0.99_accepts10	uclust	uclust_consensus1.0_similarity0.99_accepts10
uclust_consensus0.5_similarity0.95_accepts10	uclust	uclust_consensus0.5_similarity0.95_accepts10
uclust_consensus0.75_similarity0.8_accepts1	uclust	uclust_consensus0.75_similarity0.8_accepts1
uclust_consensus0.75_similarity1.0_accepts5	uclust	uclust_consensus0.75_similarity1.0_accepts5
uclust_consensus1.0_similarity0.99_accepts3	uclust	uclust_consensus1.0_similarity0.99_accepts3
uclust_consensus0.5_similarity0.95_accepts3	uclust	uclust_consensus0.5_similarity0.95_accepts3
uclust_consensus0.75_similarity0.8_accepts10	uclust	uclust_consensus0.75_similarity0.8_accepts10
uclust_consensus1.0_similarity0.75_accepts1	uclust	uclust_consensus1.0_similarity0.75_accepts1
uclust_consensus1.0_similarity0.99_accepts5	uclust	uclust_consensus1.0_similarity0.99_accepts5
uclust_consensus0.5_similarity0.95_accepts5	uclust	uclust_consensus0.5_similarity0.95_accepts5
uclust_consensus0.75_similarity0.8_accepts3	uclust	uclust_consensus0.75_similarity0.8_accepts3
uclust_consensus1.0_similarity0.75_accepts10	uclust	uclust_consensus1.0_similarity0.75_accepts10
uclust_consensus1.0_similarity0.9_accepts1	uclust	uclust_consensus1.0_similarity0.9_accepts1
uclust_consensus0.5_similarity0.97_accepts1	uclust	uclust_consensus0.5_similarity0.97_accepts1
uclust_consensus0.75_similarity0.8_accepts5	uclust	uclust_consensus0.75_similarity0.8_accepts5
uclust_consensus1.0_similarity0.75_accepts3	uclust	uclust_consensus1.0_similarity0.75_accepts3
uclust_consensus1.0_similarity0.9_accepts10	uclust	uclust_consensus1.0_similarity0.9_accepts10
uclust_consensus0.5_similarity0.97_accepts10	uclust	uclust_consensus0.5_similarity0.97_accepts10
uclust_consensus0.75_similarity0.93_accepts1	uclust	uclust_consensus0.75_similarity0.93_accepts1
uclust_consensus1.0_similarity0.75_accepts5	uclust	uclust_consensus1.0_similarity0.75_accepts5
uclust_consensus1.0_similarity0.9_accepts3	uclust	uclust_consensus1.0_similarity0.9_accepts3
uclust_consensus0.5_similarity0.97_accepts3	uclust	uclust_consensus0.5_similarity0.97_accepts3
uclust_consensus0.75_similarity0.93_accepts10	uclust	uclust_consensus0.75_similarity0.93_accepts10
uclust_consensus1.0_similarity0.7_accepts1	uclust	uclust_consensus1.0_similarity0.7_accepts1
uclust_consensus1.0_similarity0.9_accepts5	uclust	uclust_consensus1.0_similarity0.9_accepts5
uclust_consensus0.5_similarity0.97_accepts5	uclust	uclust_consensus0.5_similarity0.97_accepts5
uclust_consensus0.75_similarity0.93_accepts3	uclust	uclust_consensus0.75_similarity0.93_accepts3
uclust_consensus1.0_similarity0.7_accepts10	uclust	uclust_consensus1.0_similarity0.7_accepts10
uclust_consensus1.0_similarity1.0_accepts1	uclust	uclust_consensus1.0_similarity1.0_accepts1
uclust_consensus0.5_similarity0.99_accepts1	uclust	uclust_consensus0.5_similarity0.99_accepts1
uclust_consensus0.75_similarity0.93_accepts5	uclust	uclust_consensus0.75_similarity0.93_accepts5
uclust_consensus1.0_similarity0.7_accepts3	uclust	uclust_consensus1.0_similarity0.7_accepts3
uclust_consensus1.0_similarity1.0_accepts10	uclust	uclust_consensus1.0_similarity1.0_accepts10
uclust_consensus0.5_similarity0.99_accepts10	uclust	uclust_consensus0.5_similarity0.99_accepts10
uclust_consensus0.75_similarity0.95_accepts1	uclust	uclust_consensus0.75_similarity0.95_accepts1
uclust_consensus1.0_similarity0.7_accepts5	uclust	uclust_consensus1.0_similarity0.7_accepts5
uclust_consensus1.0_similarity1.0_accepts3	uclust	uclust_consensus1.0_similarity1.0_accepts3
uclust_consensus0.5_similarity0.99_accepts3	uclust	uclust_consensus0.5_similarity0.99_accepts3
uclust_consensus0.75_similarity0.95_accepts10	uclust	uclust_consensus0.75_similarity0.95_accepts10
uclust_consensus1.0_similarity0.8_accepts1	uclust	uclust_consensus1.0_similarity0.8_accepts1
uclust_consensus1.0_similarity1.0_accepts5	uclust	uclust_consensus1.0_similarity1.0_accepts5
Expected	Expected	Expected
